S1.sgName	S1.Unsorted	S2.Unsorted	S1.GnMp	S2.GnMp	S1.GpMn	S2.GpMn	status.sox2
Sox2-hU6@00354	67	39	134	239	14	35	test
Sox2-hU6@00355	277	399	570	504	115	180	test
Sox2-hU6@00356	516	630	669	271	282	284	test
Sox2-hU6@00357	258	382	446	181	150	214	test
Sox2-hU6@00358	187	248	624	401	93	287	test
Sox2-hU6@00359	352	512	884	295	174	912	test
Sox2-hU6@00360	251	352	254	126	206	287	test
Sox2-hU6@00361	410	423	593	262	90	380	test
Sox2-hU6@00362	396	537	527	498	305	348	test
Sox2-hU6@00363	25	48	45	116	17	57	test
Sox2-hU6@00364	121	367	292	465	89	205	test
Sox2-hU6@00365	12	33	15	12	0	0	test
Sox2-hU6@00366	27	9	14	10	14	1	test
Sox2-hU6@00367	766	717	756	478	552	574	test
Sox2-hU6@00368	316	618	644	400	324	433	test
Sox2-hU6@00369	212	326	465	280	123	312	test
Sox2-hU6@00370	353	271	517	146	157	275	test
Sox2-hU6@00371	54	135	112	51	33	41	test
Sox2-hU6@00372	490	465	803	253	263	358	test
Sox2-hU6@00373	142	88	65	43	39	91	test
Sox2-hU6@00374	151	279	179	76	42	321	test
Sox2-hU6@00375	53	151	146	34	45	82	test
Sox2-hU6@00376	319	455	523	381	255	391	test
Sox2-hU6@00377	164	402	372	153	108	160	test
Sox2-hU6@00378	20	25	43	7	27	18	test
Sox2-hU6@00379	161	116	269	147	62	57	test
Sox2-hU6@00380	339	189	432	274	97	121	test
Sox2-hU6@00381	696	874	911	1013	316	428	test
Sox2-hU6@00382	419	597	730	253	246	576	test
Sox2-hU6@00383	208	489	321	150	103	234	test
Sox2-hU6@00384	1048	1258	1630	1093	538	1634	test
Sox2-hU6@00385	463	507	730	447	502	421	test
Sox2-hU6@00386	181	391	298	100	181	106	test
Sox2-hU6@00387	152	276	379	187	204	137	test
Sox2-hU6@00388	243	383	540	313	119	222	test
Sox2-hU6@00389	139	369	211	161	14	181	test
Sox2-hU6@00390	172	201	290	109	96	237	test
Sox2-hU6@00391	358	475	643	172	224	330	test
Sox2-hU6@00392	775	831	1269	459	666	864	test
Sox2-hU6@00393	510	695	616	566	267	407	test
Sox2-hU6@00394	814	765	1198	726	461	564	test
Sox2-hU6@00395	149	210	325	132	49	319	test
Sox2-hU6@00396	204	317	250	267	19	251	test
Sox2-hU6@00397	710	493	1045	420	486	435	test
Sox2-hU6@00398	55	63	128	16	19	26	test
Sox2-hU6@00399	1194	1278	1865	943	658	1131	test
Sox2-hU6@00400	110	213	310	90	180	109	test
Sox2-hU6@00401	18	1	27	0	14	0	test
Sox2-hU6@00402	528	696	842	431	474	698	test
Sox2-hU6@00403	452	685	947	414	276	561	test
Sox2-hU6@00404	313	366	829	241	185	388	test
Sox2-hU6@00405	75	109	71	34	31	114	test
Sox2-hU6@00406	237	330	332	252	1386	171	test
Sox2-hU6@00407	280	406	366	174	107	208	test
Sox2-hU6@00408	452	530	641	378	230	439	test
Sox2-hU6@00409	248	204	541	400	130	253	test
Sox2-hU6@00410	280	296	502	84	218	263	test
Sox2-hU6@00411	658	581	1581	348	431	519	test
Sox2-hU6@00412	152	280	185	48	60	107	test
Sox2-hU6@00413	54	98	175	69	81	57	test
Sox2-hU6@00414	59	81	167	123	38	117	test
Sox2-hU6@00415	426	329	479	206	230	455	test
Sox2-hU6@00416	274	155	259	257	341	151	test
Sox2-hU6@00417	278	659	569	274	203	468	test
Sox2-hU6@00418	16	5	20	29	47	6	test
