gRNA	XR029	XR030	XR031	XR032	XR033	XR034	XR035	XR036	XR037	XR038	XR039	group
SIN3A@00001	2801	1608	997	967	1315	2735	3350	527	1092	8863	346	test
SIN3A@00002	73	354	40	1	16	140	1388	1644	64	1607	15	test
SIN3A@00003	2557	2027	318	357	352	1166	809	1205	326	389	86	test
SIN3A@00004	4443	4387	1569	1496	1734	4343	2008	2162	3283	6139	986	test
SIN3A@00005	2814	3847	866	920	1003	2799	2547	944	1319	4298	1129	test
SIN3A@00006	3098	3781	1351	1178	1291	5104	4633	1829	2155	15151	1430	test
SIN3A@00007	1873	1429	424	572	620	910	1004	715	468	251	489	test
SIN3A@00008	3085	3690	732	894	1084	2546	1892	1365	1506	2460	1054	test
SIN3A@00009	881	2068	63	70	61	582	1254	562	558	1795	949	test
SIN3A@00010	1433	1501	121	579	317	1630	2331	1345	1253	14013	783	test
SIN3A@00011	1403	3227	443	502	614	2174	5310	1337	625	3958	1740	test
SIN3A@00012	2411	1853	738	952	1032	2881	3100	1012	1709	580	1372	test
SIN3A@00013	8734	8237	2129	2632	3330	9965	7891	765	847	11113	1422	test
SIN3A@00014	6244	5333	1706	2072	2432	5451	9242	4853	1726	4520	2220	test
SIN3A@00015	5102	4848	569	642	569	3043	7683	1880	863	7185	1608	test
SIN3A@00016	8320	6049	3124	3618	4492	8582	5158	1018	1157	8105	1327	test
SIN3A@00017	1607	2997	960	606	691	1543	1235	1772	1271	692	301	test
SIN3A@00018	2097	1894	166	26	41	1532	796	455	288	83	517	test
SIN3A@00019	2137	602	81	39	46	1839	1240	292	354	1635	324	test
SIN3A@00020	3912	5637	1412	1086	1415	3714	6910	495	824	6593	664	test
SIN3A@00021	1295	2158	247	30	163	1100	981	447	574	11851	497	test
SIN3A@00022	382	1200	97	18	37	93	1155	1730	1883	450	654	test
SIN3A@00023	3678	3189	1097	1012	1171	3592	4126	1786	2663	4274	1575	test
SIN3A@00024	2736	1541	845	816	981	2921	4338	593	1050	6600	1731	test
SIN3A@00025	369	78	280	33	53	125	3083	247	487	4898	527	test
