oligo	XR043	XR044	XR045	XR046	XR050	XR051	XR052	XR054	group
SIN3A@00001	863	260	290	80	188	69	6	724	test
SIN3A@00002	68	0	0	0	355	111	336	115	test
SIN3A@00003	0	68	0	0	114	38	0	0	test
SIN3A@00004	509	537	137	256	2852	398	553	1048	test
SIN3A@00005	602	496	924	786	501	254	125	226	test
SIN3A@00006	333	261	36	157	560	191	3693	274	test
SIN3A@00007	0	19	0	0	0	3	70	1	test
SIN3A@00008	204	45	4	380	334	176	395	303	test
SIN3A@00009	655	733	34	400	247	89	1	156	test
SIN3A@00010	116	106	47	1	655	281	604	355	test
SIN3A@00011	71	16	0	184	835	390	508	894	test
SIN3A@00012	863	735	145	504	389	187	419	301	test
SIN3A@00013	548	543	11	219	1154	437	872	800	test
SIN3A@00014	342	371	444	327	1243	643	1114	816	test
SIN3A@00015	741	505	20	296	1297	497	942	1222	test
SIN3A@00016	563	338	633	399	304	211	44	370	test
SIN3A@00017	447	431	86	314	154	47	323	45	test
SIN3A@00018	239	358	632	798	144	107	29	112	test
SIN3A@00019	274	55	65	31	294	119	460	108	test
SIN3A@00020	431	129	1175	682	860	472	362	827	test
SIN3A@00021	87	106	0	0	536	214	98	235	test
SIN3A@00022	78	134	1152	620	2	19	289	0	test
SIN3A@00023	1156	1465	1509	1450	1024	472	392	632	test
SIN3A@00024	45	46	0	0	763	340	563	387	test
SIN3A@00025	702	880	867	859	173	70	5	4	test
SIN3A@00026	74	89	2	0	43	18	1817	140	test
SIN3A@00027	778	637	32	595	2203	680	445	571	test
SIN3A@00028	270	240	49	94	339	254	846	507	test
SIN3A@00029	636	453	14	358	330	190	64	162	test
SIN3A@00030	288	346	10	267	284	190	55	134	test
SIN3A@00031	670	484	64	347	426	159	171	220	test
SIN3A@00032	171	135	989	612	360	224	555	364	test
SIN3A@00033	768	443	1778	1131	2726	1349	1644	1926	test
SIN3A@00034	244	141	102	101	257	116	353	181	test
SIN3A@00035	15	0	0	0	496	248	334	399	test
SIN3A@00036	64	42	2	0	0	4	1	2	test
SIN3A@00037	333	244	59	185	662	281	499	487	test
SIN3A@00038	295	326	5	149	335	198	131	241	test
SIN3A@00039	3651	2982	1388	3145	4653	2339	2845	3536	test
SIN3A@00040	54	26	0	0	279	100	58	120	test
SIN3A@00041	943	618	139	315	455	279	708	809	test
SIN3A@00042	400	184	88	284	343	271	309	226	test
SIN3A@00043	514	485	86	161	1010	463	550	848	test
SIN3A@00044	110	33	0	54	622	286	243	434	test
SIN3A@00045	803	839	1181	1183	656	328	428	1235	test
SIN3A@00046	1503	1865	209	1040	631	272	629	640	test
SIN3A@00047	1344	1163	1737	1607	1120	475	5385	385	test
SIN3A@00048	207	432	37	13	180	144	307	111	test
SIN3A@00049	193	139	43	11	499	282	307	382	test
SIN3A@00050	411	403	868	631	895	509	1263	844	test
SIN3A@00051	555	652	170	385	491	151	301	147	test
SIN3A@00052	643	251	267	113	635	346	1231	415	test
SIN3A@00053	13	36	3	215	74	5	44	4	test
SIN3A@00054	2037	2667	1010	2145	1110	657	463	755	test
SIN3A@00055	905	1032	1108	1157	449	175	178	946	test
SIN3A@00056	1473	1242	1029	1154	1882	993	2048	1042	test
SIN3A@00057	1298	738	2170	1478	1460	776	1169	967	test
SIN3A@00058	1041	679	2305	1662	1249	437	2007	2241	test
SIN3A@00059	60	10	0	1	0	6	1	3	test
SIN3A@00060	865	657	1897	1202	2391	1224	2084	2262	test
SIN3A@00061	278	293	481	472	79	70	139	3	test
SIN3A@00062	178	123	0	37	300	155	145	89	test
SIN3A@00063	159	97	0	33	362	188	370	559	test
SIN3A@00064	641	188	245	347	700	409	1195	621	test
SIN3A@00065	340	169	4	34	472	292	563	630	test
SIN3A@00066	741	657	757	592	1276	727	6432	1233	test
SIN3A@00067	3287	3384	1928	2578	672	411	492	370	test
SIN3A@00068	213	161	0	0	132	51	264	315	test
SIN3A@00069	88	68	6	0	141	31	2	0	test
SIN3A@00070	39	9	0	20	236	126	112	183	test
SIN3A@00071	484	468	768	626	203	129	0	50	test
SIN3A@00072	2460	1678	1016	1282	1554	781	415	808	test
SIN3A@00073	743	728	778	802	670	362	505	458	test
SIN3A@00074	424	216	644	315	576	350	411	254	test
SIN3A@00075	250	120	1	0	496	308	130	382	test
SIN3A@00076	546	423	1571	861	783	422	848	783	test
SIN3A@00077	6668	785	1450	973	1011	656	634	690	test
SIN3A@00078	647	478	1620	974	692	368	396	822	test
SIN3A@00079	445	210	60	612	718	287	269	509	test
SIN3A@00080	98	58	13	24	538	332	1027	377	test
SIN3A@00081	2269	2726	3800	3150	1518	763	1107	813	test
SIN3A@00082	1201	1121	1007	1109	1313	541	2289	888	test
SIN3A@00083	807	686	1515	1296	476	277	48	548	test
SIN3A@00084	609	391	51	145	939	340	277	277	test
SIN3A@00085	481	231	1170	639	3756	227	989	291	test
SIN3A@00086	707	823	31	501	648	251	489	498	test
SIN3A@00087	472	246	142	656	267	33	1	3	test
SIN3A@00088	464	391	112	199	1130	635	1158	1044	test
SIN3A@00089	182	54	96	1	634	281	187	442	test
SIN3A@00090	0	0	0	0	0	20	0	0	test
SIN3A@00091	1008	198	12	0	951	335	1721	1638	test
SIN3A@00092	483	266	170	103	827	418	5067	453	test
SIN3A@00093	803	799	78	327	1279	579	2466	896	test
SIN3A@00094	0	20	0	0	194	91	137	185	test
SIN3A@00095	457	237	135	261	666	339	601	685	test
SIN3A@00096	217	232	77	131	299	102	1	87	test
SIN3A@00097	255	92	93	142	62	87	0	1	test
SIN3A@00098	333	242	946	580	241	114	62	3	test
SIN3A@00099	250	312	18	189	0	17	3	2	test
SIN3A@00100	1171	1004	87	634	782	340	324	387	test
SIN3A@00101	0	7	0	1	128	2	0	0	test
SIN3A@00102	263	288	8	166	296	102	631	155	test
SIN3A@00103	34	8	0	0	294	117	65	1379	test
SIN3A@00104	71	98	0	0	168	89	69	1406	test
SIN3A@00105	312	453	53	177	807	344	470	591	test
SIN3A@00106	781	1086	49	906	432	255	248	480	test
SIN3A@00107	881	703	266	372	406	160	381	205	test
SIN3A@00108	288	185	1196	589	72	16	3	0	test
SIN3A@00109	1026	1014	167	460	1376	694	670	1065	test
SIN3A@00110	58	25	0	0	330	118	95	64	test
SIN3A@00111	318	526	52	245	1159	670	787	1009	test
SIN3A@00112	797	607	132	799	356	143	60	116	test
SIN3A@00113	1402	906	1609	1226	503	144	95	262	test
SIN3A@00114	0	1	0	1	0	0	1	1	test
SIN3A@00115	48	73	17	1	413	182	368	198	test
SIN3A@00116	203	332	13	213	144	130	38	43	test
SIN3A@00117	1	12	0	216	2	25	1	0	test
SIN3A@00118	735	528	1042	792	228	142	1	47	test
SIN3A@00119	242	150	2395	1263	0	34	0	0	test
SIN3A@00120	199	191	902	612	298	154	115	170	test
SIN3A@00121	93	18	0	171	2	19	4	2	test
SIN3A@00122	367	221	71	31	152	114	44	2	test
SIN3A@00123	526	581	926	911	860	477	475	528	test
SIN3A@00124	311	198	1107	641	677	372	910	538	test
SIN3A@00125	1375	633	1940	1098	817	444	969	768	test
SIN3A@00126	832	642	26	228	2036	925	1934	1455	test
SIN3A@00127	286	111	110	330	154	74	230	36	test
SIN3A@00128	798	632	1088	847	594	301	380	367	test
SIN3A@00129	2	2	4	1	0	1	1	2	test
SIN3A@00130	645	132	0	129	1019	555	672	1108	test
SIN3A@00131	1107	1239	1107	1084	1777	781	877	1400	test
SIN3A@00132	233	211	907	467	897	260	170	566	test
SIN3A@00133	287	370	16	464	236	160	52	671	test
SIN3A@00134	265	226	860	552	419	252	156	383	test
SIN3A@00135	176	115	0	0	826	283	141	325	test
SIN3A@00136	321	201	165	74	233	51	40	6	test
SIN3A@00137	244	83	0	0	395	180	382	211	test
SIN3A@00138	468	328	64	229	178	106	61	625	test
