oligo	XR029	XR030	XR031	XR032	XR034	XR035	XR036	XR037	group
SIN3A@00001	3	317	130	35	351	517	415	530	test
SIN3A@00002	0	0	0	0	49	450	608	20	test
SIN3A@00003	607	409	22	6	273	104	881	68	test
SIN3A@00004	490	782	401	370	861	508	1311	2254	test
SIN3A@00005	730	1308	367	358	731	485	431	221	test
SIN3A@00006	591	1541	599	313	1110	1473	633	1548	test
SIN3A@00007	155	303	16	12	1	216	198	48	test
SIN3A@00008	78	1218	96	15	19	2	303	1285	test
SIN3A@00009	18	462	11	18	3	373	219	14	test
SIN3A@00010	96	379	53	25	370	456	1256	822	test
SIN3A@00011	35	1044	40	32	375	896	1000	367	test
SIN3A@00012	310	40	4	18	79	832	697	1384	test
SIN3A@00013	1772	1939	813	994	1601	2963	317	288	test
SIN3A@00014	1401	2007	466	539	954	2965	3831	1199	test
SIN3A@00015	1402	1126	142	98	307	2505	868	299	test
SIN3A@00016	1976	2336	1482	1567	2024	1172	567	423	test
SIN3A@00017	40	319	81	33	29	12	367	810	test
SIN3A@00018	446	400	145	11	504	24	2	5	test
SIN3A@00019	484	61	9	7	7	165	7	72	test
SIN3A@00020	123	775	282	28	42	2710	202	45	test
SIN3A@00021	320	351	167	8	47	11	0	199	test
SIN3A@00022	129	302	15	13	8	224	1646	1641	test
SIN3A@00023	659	697	282	83	685	936	714	510	test
SIN3A@00024	222	32	2	27	344	1406	294	247	test
SIN3A@00025	121	20	237	8	7	577	160	220	test
SIN3A@00026	1076	1229	608	694	1050	569	256	1656	test
SIN3A@00027	339	272	281	73	1064	1160	1254	570	test
SIN3A@00028	488	305	172	2	563	2269	987	737	test
SIN3A@00029	995	2033	354	55	500	514	913	663	test
SIN3A@00030	74	444	376	26	164	358	10	13	test
SIN3A@00031	705	446	88	13	453	2208	241	112	test
SIN3A@00032	2679	1689	882	812	1238	2151	733	541	test
SIN3A@00033	1853	2069	1292	770	1741	3044	1325	403	test
SIN3A@00034	230	1323	112	3	311	542	472	966	test
SIN3A@00035	131	1092	118	5	0	3	615	561	test
SIN3A@00036	208	321	35	17	98	13	761	857	test
SIN3A@00037	777	1186	458	30	799	846	469	136	test
SIN3A@00038	44	406	135	10	0	757	5	119	test
SIN3A@00039	6864	8576	3065	2715	6105	7891	1931	3265	test
SIN3A@00040	528	860	105	25	0	0	0	215	test
SIN3A@00041	253	733	141	36	1163	848	571	120	test
SIN3A@00042	78	530	373	63	42	30	258	1251	test
SIN3A@00043	294	1176	145	63	713	1090	1328	784	test
SIN3A@00044	5	8	32	20	6	936	129	899	test
SIN3A@00045	865	2876	399	314	1242	1070	1591	1158	test
SIN3A@00046	220	918	168	30	1404	1953	2839	1502	test
SIN3A@00047	907	1715	186	53	786	3491	505	375	test
SIN3A@00048	878	1363	234	16	583	1663	233	246	test
SIN3A@00049	388	505	344	314	548	140	798	274	test
SIN3A@00050	610	1219	373	26	770	1359	725	1402	test
SIN3A@00051	254	1264	81	7	279	12	0	586	test
SIN3A@00052	1917	1767	615	520	1483	1594	1135	382	test
SIN3A@00053	565	339	25	3	2	541	3	244	test
SIN3A@00054	3094	1467	1403	1137	2520	2502	1218	1348	test
SIN3A@00055	258	849	154	60	559	1806	24	101	test
SIN3A@00056	2393	1991	680	413	1692	4552	1106	1120	test
SIN3A@00057	1351	1191	153	24	2518	2362	147	416	test
SIN3A@00058	467	3149	564	374	1581	1885	2315	392	test
SIN3A@00059	643	212	322	271	215	118	11	30	test
SIN3A@00060	3884	4918	2276	2350	3183	4030	1427	2724	test
SIN3A@00061	970	384	129	8	401	1415	820	65	test
SIN3A@00062	228	409	453	30	3	326	183	345	test
SIN3A@00063	2202	1866	1228	1317	1788	1367	720	262	test
SIN3A@00064	1532	1429	1248	863	1120	2052	1418	376	test
SIN3A@00065	885	1752	726	327	684	1087	499	1678	test
SIN3A@00066	1415	2094	417	310	1920	388	631	2894	test
