logFC	logCPM	F	PValue	status
Sox2-hU6@00001	-4.494e-01	 4.014262	7.217e-01	4.080e-01	test
Sox2-hU6@00002	-1.459e+00	 3.618666	5.281e+00	3.526e-02	test
Sox2-hU6@00003	 1.301e-01	 5.959125	1.547e-01	6.992e-01	test
Sox2-hU6@00004	 2.170e-01	 3.758780	1.384e-01	7.147e-01	test
Sox2-hU6@00005	 2.704e+00	 1.612723	4.907e+00	4.149e-02	test
Sox2-hU6@00006	 1.124e-01	 4.449184	5.257e-02	8.215e-01	test
Sox2-hU6@00007	 4.131e+00	 4.634006	3.197e+00	1.802e-01	test
Sox2-hU6@00008	 6.592e-02	 5.294646	3.015e-02	8.643e-01	test
Sox2-hU6@00009	-1.268e-01	 6.768628	1.782e-01	6.785e-01	test
Sox2-hU6@00010	-9.149e-01	 5.061770	4.685e+00	4.576e-02	test
Sox2-hU6@00011	 6.179e-02	 7.276430	4.552e-02	8.337e-01	test
Sox2-hU6@00012	 8.817e-01	 5.707254	3.462e+00	8.528e-02	test
Sox2-hU6@00013	 1.139e+00	 4.103576	2.368e+00	1.501e-01	test
Sox2-hU6@00014	 3.705e-04	 6.592039	1.384e-06	9.991e-01	test
Sox2-hU6@00015	-2.130e-01	 6.857277	5.046e-01	4.877e-01	test
Sox2-hU6@00016	 1.080e-01	 5.894218	1.022e-01	7.533e-01	test
Sox2-hU6@00017	-5.788e-01	 4.558612	1.578e+00	2.270e-01	test
Sox2-hU6@00018	 2.016e-02	 5.931273	2.918e-03	9.576e-01	test
Sox2-hU6@00019	-1.369e+00	 4.658306	6.471e+00	2.236e-02	test
Sox2-hU6@00020	-6.527e-01	 2.834210	7.310e-01	4.051e-01	test
Sox2-hU6@00021	 1.143e+00	 3.138872	2.540e+00	1.304e-01	test
Sox2-hU6@00022	-1.364e-01	 5.391221	1.060e-01	7.489e-01	test
Sox2-hU6@00023	-7.661e-01	 2.497560	8.202e-01	3.785e-01	test
Sox2-hU6@00024	 3.833e-01	 1.955349	1.435e-01	7.098e-01	test
Sox2-hU6@00025	-1.192e-01	 3.578790	3.721e-02	8.494e-01	test
Sox2-hU6@00026	-1.445e-01	 5.322536	1.397e-01	7.134e-01	test
Sox2-hU6@00027	-5.663e-01	 3.856121	1.024e+00	3.265e-01	test
Sox2-hU6@00028	 1.193e-01	 6.068554	8.811e-02	7.707e-01	test
Sox2-hU6@00029	-2.377e-02	 6.516201	5.834e-03	9.401e-01	test
Sox2-hU6@00030	 1.127e+00	 2.845721	1.772e+00	2.017e-01	test
Sox2-hU6@00031	-4.141e-01	 4.525093	5.512e-01	4.695e-01	test
Sox2-hU6@00032	 7.215e-03	 3.796105	1.666e-04	9.899e-01	test
Sox2-hU6@00033	-4.517e-01	 3.438785	4.835e-01	4.967e-01	test
Sox2-hU6@00034	 5.457e-01	 6.490270	2.828e+00	1.119e-01	test
Sox2-hU6@00035	 1.176e+00	 3.176326	2.591e+00	1.269e-01	test
Sox2-hU6@00036	 7.787e-01	 1.098053	3.569e-01	5.586e-01	test
Sox2-hU6@00037	 5.019e-01	 3.277319	4.962e-01	4.912e-01	test
Sox2-hU6@00038	-6.830e-01	 5.196924	2.955e+00	1.048e-01	test
Sox2-hU6@00039	 3.242e-01	 6.023184	9.619e-01	3.412e-01	test
Sox2-hU6@00040	-1.243e-01	 5.671669	1.253e-01	7.280e-01	test
Sox2-hU6@00041	-2.321e-01	 7.345107	6.641e-01	4.270e-01	test
Sox2-hU6@00042	 3.293e-01	 6.190906	9.687e-01	3.396e-01	test
Sox2-hU6@00043	 1.782e-01	 5.495751	2.391e-01	6.315e-01	test
Sox2-hU6@00044	 1.215e-01	 2.819721	2.563e-02	8.748e-01	test
Sox2-hU6@00045	-1.825e-01	 6.356315	3.130e-01	5.835e-01	test
