logFC	logCPM	F	PValue	status
Sox2-hU6@00001	-7.401e-01	 3.918937	1.204e+00	2.911e-01	test
Sox2-hU6@00002	-9.303e-02	 4.133403	2.536e-02	8.758e-01	test
Sox2-hU6@00003	-2.569e-01	 5.784654	5.022e-01	4.902e-01	test
Sox2-hU6@00004	 8.542e-01	 4.143057	2.373e+00	1.458e-01	test
Sox2-hU6@00005	 2.046e+00	 1.113581	1.851e+00	1.952e-01	test
Sox2-hU6@00006	 6.001e-01	 4.734178	1.180e+00	2.959e-01	test
Sox2-hU6@00007	 1.128e+00	 2.145028	9.956e-01	3.354e-01	test
Sox2-hU6@00008	-1.170e-01	 5.218735	8.007e-02	7.814e-01	test
Sox2-hU6@00009	-3.751e-01	 6.667249	1.327e+00	2.687e-01	test
Sox2-hU6@00010	-5.749e-01	 5.204371	1.774e+00	2.043e-01	test
Sox2-hU6@00011	-1.828e-02	 7.247630	3.279e-03	9.551e-01	test
Sox2-hU6@00012	 3.733e-01	 5.412282	8.042e-01	3.850e-01	test
Sox2-hU6@00013	 7.522e-01	 3.866631	8.023e-01	3.865e-01	test
Sox2-hU6@00014	 1.830e-01	 6.699622	3.249e-01	5.777e-01	test
Sox2-hU6@00015	 3.184e-01	 7.140023	1.254e+00	2.817e-01	test
Sox2-hU6@00016	 2.047e-01	 5.956658	2.879e-01	6.000e-01	test
Sox2-hU6@00017	-4.883e-01	 4.610408	1.051e+00	3.226e-01	test
Sox2-hU6@00018	-1.659e-01	 5.852479	1.878e-01	6.714e-01	test
Sox2-hU6@00019	-4.127e-01	 5.004799	5.964e-01	4.531e-01	test
Sox2-hU6@00020	 7.334e-01	 3.538968	1.114e+00	3.092e-01	test
Sox2-hU6@00021	 1.340e+00	 3.286343	3.122e+00	9.908e-02	test
Sox2-hU6@00022	-8.446e-01	 5.111375	3.559e+00	8.019e-02	test
Sox2-hU6@00023	-5.707e-01	 2.598763	3.947e-01	5.400e-01	test
Sox2-hU6@00024	 2.478e-01	 1.924775	4.259e-02	8.395e-01	test
Sox2-hU6@00025	-2.085e-01	 3.557514	9.421e-02	7.634e-01	test
Sox2-hU6@00026	 8.551e-01	 5.894752	4.451e+00	5.343e-02	test
Sox2-hU6@00027	-6.175e-03	 4.122377	1.109e-04	9.917e-01	test
Sox2-hU6@00028	-7.276e-02	 5.982598	3.294e-02	8.586e-01	test
Sox2-hU6@00029	-6.418e-02	 6.507924	3.598e-02	8.523e-01	test
Sox2-hU6@00030	 1.040e+00	 2.812266	1.458e+00	2.472e-01	test
Sox2-hU6@00031	 2.990e-01	 4.882036	1.578e-01	6.993e-01	test
Sox2-hU6@00032	 8.972e-02	 3.852865	2.281e-02	8.821e-01	test
Sox2-hU6@00033	-7.492e-01	 3.343959	9.534e-01	3.455e-01	test
Sox2-hU6@00034	 7.646e-01	 6.637222	4.380e+00	5.524e-02	test
Sox2-hU6@00035	-1.294e+00	 2.049515	1.306e+00	2.723e-01	test
Sox2-hU6@00036	 1.041e+00	 1.249756	3.624e-01	5.569e-01	test
Sox2-hU6@00037	 6.476e-02	 3.067026	6.291e-03	9.379e-01	test
Sox2-hU6@00038	-7.613e-01	 5.182783	3.215e+00	9.466e-02	test
Sox2-hU6@00039	 5.033e-01	 6.137051	2.118e+00	1.677e-01	test
Sox2-hU6@00040	-2.312e-01	 5.635189	4.007e-01	5.370e-01	test
Sox2-hU6@00041	-3.048e-01	 7.324783	1.293e+00	2.746e-01	test
Sox2-hU6@00042	-1.790e-01	 5.943736	2.311e-01	6.382e-01	test
Sox2-hU6@00043	 1.295e-01	 5.482086	7.743e-02	7.849e-01	test
Sox2-hU6@00044	-1.222e+00	 2.322569	1.428e+00	2.520e-01	test
Sox2-hU6@00045	-5.942e-02	 6.427416	3.165e-02	8.614e-01	test
Sox2-hU6@00046	-5.082e-01	 6.217306	2.299e+00	1.518e-01	test
Sox2-hU6@00047	-2.640e-02	 5.923670	5.325e-03	9.429e-01	test
Sox2-hU6@00048	 6.832e-01	 3.699618	9.642e-01	3.428e-01	test
Sox2-hU6@00049	 1.859e-01	 5.318828	1.872e-01	6.719e-01	test
Sox2-hU6@00050	 2.047e-01	 3.933103	1.277e-01	7.262e-01	test
Sox2-hU6@00051	 1.135e+00	 4.386744	4.446e+00	5.354e-02	test
Sox2-hU6@00052	 3.104e-01	 4.816222	3.858e-01	5.445e-01	test
Sox2-hU6@00053	 3.035e-01	 4.600873	4.230e-01	5.260e-01	test
Sox2-hU6@00054	 3.517e-01	 3.624197	3.010e-01	5.919e-01	test
Sox2-hU6@00055	 4.616e-02	 3.551738	4.118e-03	9.497e-01	test
Sox2-hU6@00056	 9.908e-02	 5.124033	4.610e-02	8.331e-01	test
Sox2-hU6@00057	-3.879e-01	 6.709008	1.808e+00	2.001e-01	test
Sox2-hU6@00058	 1.118e+00	 5.176208	3.780e+00	7.355e-02	test
Sox2-hU6@00059	 6.976e-02	 5.319652	3.027e-02	8.644e-01	test
Sox2-hU6@00060	-3.090e-01	 6.024404	6.564e-01	4.314e-01	test
Sox2-hU6@00061	 6.183e-01	 6.237603	2.637e+00	1.268e-01	test
Sox2-hU6@00062	 7.141e-02	 5.339574	2.625e-02	8.736e-01	test
Sox2-hU6@00063	 4.018e-01	 4.767725	6.956e-01	4.183e-01	test
Sox2-hU6@00064	 1.131e+00	 4.176420	2.547e+00	1.335e-01	test
Sox2-hU6@00065	-3.594e-01	 4.437278	4.828e-01	4.986e-01	test
Sox2-hU6@00066	 3.462e-01	 2.970527	1.772e-01	6.802e-01	test
Sox2-hU6@00067	 6.452e-02	 4.393661	1.301e-02	9.108e-01	test
Sox2-hU6@00068	 4.474e+00	 1.699592	6.083e+00	2.755e-02	test
Sox2-hU6@00069	 4.666e-02	 4.889618	8.931e-03	9.261e-01	test
Sox2-hU6@00070	 5.769e-01	 6.082166	2.826e+00	1.150e-01	test
Sox2-hU6@00071	-6.502e-01	 5.282978	2.416e+00	1.424e-01	test
Sox2-hU6@00072	-3.803e-01	 4.839717	7.036e-01	4.157e-01	test
Sox2-hU6@00073	 1.983e-01	 6.515870	3.764e-01	5.494e-01	test
