logFC	logCPM	F	PValue	status
Sox2-hU6@00001	-5.742e-01	 3.861466	1.121e+00	3.048e-01	test
Sox2-hU6@00002	-6.213e-01	 3.788993	1.013e+00	3.287e-01	test
Sox2-hU6@00003	-6.555e-02	 5.852986	4.526e-02	8.341e-01	test
Sox2-hU6@00004	 5.828e-01	 4.056130	1.317e+00	2.674e-01	test
Sox2-hU6@00005	 2.349e+00	 1.708771	5.147e+00	3.696e-02	test
Sox2-hU6@00006	 3.764e-01	 4.651178	5.863e-01	4.547e-01	test
Sox2-hU6@00007	 3.257e+00	 4.154078	2.386e+00	1.838e-01	test
Sox2-hU6@00008	-2.696e-02	 5.243883	6.204e-03	9.382e-01	test
Sox2-hU6@00009	-2.558e-01	 6.661863	9.192e-01	3.515e-01	test
Sox2-hU6@00010	-7.324e-01	 5.000385	3.743e+00	7.029e-02	test
Sox2-hU6@00011	 2.263e-02	 7.248266	7.585e-03	9.316e-01	test
Sox2-hU6@00012	 6.194e-01	 5.633533	2.093e+00	1.672e-01	test
Sox2-hU6@00013	 9.535e-01	 4.129177	1.573e+00	2.310e-01	test
Sox2-hU6@00014	 7.611e-02	 6.646045	7.797e-02	7.835e-01	test
Sox2-hU6@00015	 6.455e-02	 7.005497	5.446e-02	8.183e-01	test
Sox2-hU6@00016	 1.396e-01	 5.930374	1.921e-01	6.668e-01	test
Sox2-hU6@00017	-5.280e-01	 4.489500	1.742e+00	2.048e-01	test
Sox2-hU6@00018	-1.043e-01	 5.850352	9.071e-02	7.670e-01	test
Sox2-hU6@00019	-8.037e-01	 4.698949	2.710e+00	1.190e-01	test
Sox2-hU6@00020	 2.048e-01	 3.256805	9.119e-02	7.664e-01	test
Sox2-hU6@00021	 1.239e+00	 3.385180	3.903e+00	6.511e-02	test
Sox2-hU6@00022	-4.545e-01	 5.167193	1.314e+00	2.680e-01	test
Sox2-hU6@00023	-6.334e-01	 2.445449	7.679e-01	3.934e-01	test
Sox2-hU6@00024	 3.514e-01	 2.013984	1.551e-01	6.987e-01	test
Sox2-hU6@00025	-1.464e-01	 3.540705	7.115e-02	7.930e-01	test
Sox2-hU6@00026	 4.370e-01	 5.701160	1.116e+00	3.064e-01	test
Sox2-hU6@00027	-2.515e-01	 3.946299	2.315e-01	6.367e-01	test
Sox2-hU6@00028	-1.006e-02	 5.993801	7.316e-04	9.787e-01	test
Sox2-hU6@00029	-5.953e-02	 6.483380	4.788e-02	8.295e-01	test
Sox2-hU6@00030	 1.118e+00	 3.000487	2.178e+00	1.588e-01	test
Sox2-hU6@00031	-1.972e-02	 4.701656	7.383e-04	9.788e-01	test
Sox2-hU6@00032	 5.797e-02	 3.830696	1.365e-02	9.084e-01	test
Sox2-hU6@00033	-5.930e-01	 3.285972	9.581e-01	3.417e-01	test
Sox2-hU6@00034	 6.443e-01	 6.660131	4.007e+00	6.224e-02	test
Sox2-hU6@00035	 4.526e-01	 2.804610	2.743e-01	6.075e-01	test
Sox2-hU6@00036	 9.748e-01	 1.386906	5.224e-01	4.803e-01	test
Sox2-hU6@00037	 3.095e-01	 3.230200	2.206e-01	6.447e-01	test
Sox2-hU6@00038	-7.270e-01	 5.056508	4.121e+00	5.872e-02	test
Sox2-hU6@00039	 3.925e-01	 6.123744	1.784e+00	1.997e-01	test
Sox2-hU6@00040	-1.839e-01	 5.613609	3.581e-01	5.577e-01	test
Sox2-hU6@00041	-2.363e-01	 7.302067	9.538e-01	3.428e-01	test
Sox2-hU6@00042	 9.899e-02	 6.075539	9.641e-02	7.601e-01	test
Sox2-hU6@00043	 1.449e-01	 5.500772	1.434e-01	7.098e-01	test
Sox2-hU6@00044	-3.547e-01	 2.535959	2.246e-01	6.417e-01	test
Sox2-hU6@00045	-1.289e-01	 6.354441	2.175e-01	6.471e-01	test
Sox2-hU6@00046	-4.710e-01	 6.136297	2.924e+00	1.060e-01	test
Sox2-hU6@00047	-1.224e-01	 5.837984	1.381e-01	7.149e-01	test
Sox2-hU6@00048	 5.372e-01	 3.683447	7.801e-01	3.898e-01	test
Sox2-hU6@00049	-9.513e-02	 5.151233	6.055e-02	8.086e-01	test
Sox2-hU6@00050	-7.210e-02	 3.766926	1.897e-02	8.921e-01	test
Sox2-hU6@00051	 7.438e-01	 4.236415	2.047e+00	1.711e-01	test
