logFC	logCPM	F	PValue	status
Sox2-hU6@00001	-7.328e-01	 3.915634	1.201e+00	2.904e-01	test
Sox2-hU6@00002	-9.093e-02	 4.130347	2.428e-02	8.783e-01	test
Sox2-hU6@00003	-2.596e-01	 5.779935	5.122e-01	4.852e-01	test
Sox2-hU6@00004	 8.674e-01	 4.150062	2.452e+00	1.383e-01	test
Sox2-hU6@00005	 2.156e+00	 1.199259	2.588e+00	1.286e-01	test
Sox2-hU6@00006	 6.024e-01	 4.732722	1.206e+00	2.895e-01	test
Sox2-hU6@00007	 1.176e+00	 2.193526	1.252e+00	2.808e-01	test
Sox2-hU6@00008	-1.093e-01	 5.218709	7.050e-02	7.942e-01	test
Sox2-hU6@00009	-4.016e-01	 6.653711	1.533e+00	2.347e-01	test
Sox2-hU6@00010	-5.724e-01	 5.200638	1.783e+00	2.018e-01	test
Sox2-hU6@00011	-6.226e-02	 7.224089	3.858e-02	8.469e-01	test
Sox2-hU6@00012	 3.779e-01	 5.411741	8.348e-01	3.754e-01	test
Sox2-hU6@00013	 7.618e-01	 3.873617	8.636e-01	3.684e-01	test
Sox2-hU6@00014	 1.748e-01	 6.692532	2.928e-01	5.964e-01	test
Sox2-hU6@00015	 2.789e-01	 7.116298	9.564e-01	3.437e-01	test
Sox2-hU6@00016	 1.788e-01	 5.941312	2.217e-01	6.446e-01	test
Sox2-hU6@00017	-4.767e-01	 4.611029	9.963e-01	3.341e-01	test
Sox2-hU6@00018	-1.854e-01	 5.841518	2.352e-01	6.348e-01	test
Sox2-hU6@00019	-4.040e-01	 5.005300	5.865e-01	4.560e-01	test
Sox2-hU6@00020	 7.460e-01	 3.542315	1.166e+00	2.973e-01	test
Sox2-hU6@00021	 1.350e+00	 3.290524	3.254e+00	9.150e-02	test
Sox2-hU6@00022	-8.316e-01	 5.111797	3.500e+00	8.113e-02	test
Sox2-hU6@00023	-5.005e-01	 2.614794	3.339e-01	5.720e-01	test
Sox2-hU6@00024	 3.510e-01	 1.957097	1.019e-01	7.540e-01	test
Sox2-hU6@00025	-1.957e-01	 3.557290	8.389e-02	7.761e-01	test
Sox2-hU6@00026	 8.593e-01	 5.894746	4.546e+00	5.004e-02	test
Sox2-hU6@00027	 1.051e-02	 4.126530	3.229e-04	9.859e-01	test
Sox2-hU6@00028	-9.674e-02	 5.969381	5.927e-02	8.110e-01	test
Sox2-hU6@00029	-9.191e-02	 6.492497	7.528e-02	7.876e-01	test
Sox2-hU6@00030	 1.063e+00	 2.823283	1.630e+00	2.212e-01	test
Sox2-hU6@00031	 2.906e-01	 4.876411	1.535e-01	7.029e-01	test
Sox2-hU6@00032	 9.916e-02	 3.853855	2.775e-02	8.699e-01	test
Sox2-hU6@00033	-7.231e-01	 3.344008	9.236e-01	3.519e-01	test
Sox2-hU6@00034	 7.892e-01	 6.649897	4.541e+00	5.057e-02	test
Sox2-hU6@00035	-1.112e+00	 2.076875	1.158e+00	2.990e-01	test
Sox2-hU6@00036	 1.129e+00	 1.351359	5.152e-01	4.843e-01	test
Sox2-hU6@00037	 8.875e-02	 3.071048	1.240e-02	9.128e-01	test
Sox2-hU6@00038	-7.586e-01	 5.178846	3.227e+00	9.271e-02	test
