logFC	logCPM	F	PValue	status
Sox2-hU6@00001	-5.809e-01	 3.856844	1.129e+00	3.047e-01	test
Sox2-hU6@00002	-6.153e-01	 3.781853	9.989e-01	3.335e-01	test
Sox2-hU6@00003	-4.657e-02	 5.852907	2.304e-02	8.814e-01	test
Sox2-hU6@00004	 5.727e-01	 4.039938	1.302e+00	2.718e-01	test
Sox2-hU6@00005	 2.418e+00	 1.664079	4.623e+00	4.830e-02	test
Sox2-hU6@00006	 3.760e-01	 4.643666	5.682e-01	4.627e-01	test
Sox2-hU6@00007	 3.304e+00	 4.210383	2.546e+00	1.693e-01	test
Sox2-hU6@00008	-1.900e-02	 5.240178	3.140e-03	9.561e-01	test
Sox2-hU6@00009	-2.411e-01	 6.664988	8.001e-01	3.852e-01	test
Sox2-hU6@00010	-7.337e-01	 4.995879	3.714e+00	7.316e-02	test
Sox2-hU6@00011	 2.720e-02	 7.253759	1.045e-02	9.199e-01	test
Sox2-hU6@00012	 6.532e-01	 5.657251	2.168e+00	1.620e-01	test
Sox2-hU6@00013	 9.609e-01	 4.122300	1.529e+00	2.386e-01	test
Sox2-hU6@00014	 9.798e-02	 6.648752	1.276e-01	7.259e-01	test
Sox2-hU6@00015	 8.200e-02	 7.005670	8.493e-02	7.747e-01	test
Sox2-hU6@00016	 1.623e-01	 5.939659	2.560e-01	6.203e-01	test
Sox2-hU6@00017	-5.291e-01	 4.481765	1.779e+00	2.022e-01	test
Sox2-hU6@00018	-6.453e-02	 5.868729	3.305e-02	8.582e-01	test
Sox2-hU6@00019	-8.114e-01	 4.691062	2.687e+00	1.222e-01	test
Sox2-hU6@00020	 2.044e-01	 3.247345	8.780e-02	7.711e-01	test
Sox2-hU6@00021	 1.250e+00	 3.383095	3.931e+00	6.606e-02	test
Sox2-hU6@00022	-4.424e-01	 5.170115	1.219e+00	2.870e-01	test
Sox2-hU6@00023	-6.615e-01	 2.425637	8.158e-01	3.807e-01	test
Sox2-hU6@00024	 3.246e-01	 1.980323	1.191e-01	7.349e-01	test
Sox2-hU6@00025	-1.579e-01	 3.528683	8.455e-02	7.752e-01	test
Sox2-hU6@00026	 4.414e-01	 5.692375	1.118e+00	3.073e-01	test
Sox2-hU6@00027	-2.596e-01	 3.936082	2.478e-01	6.259e-01	test
Sox2-hU6@00028	 3.181e-02	 6.018969	6.778e-03	9.355e-01	test
Sox2-hU6@00029	-3.926e-02	 6.492456	1.998e-02	8.895e-01	test
Sox2-hU6@00030	 1.090e+00	 2.979623	2.091e+00	1.688e-01	test
Sox2-hU6@00031	-5.617e-03	 4.702318	6.029e-05	9.939e-01	test
Sox2-hU6@00032	 5.228e-02	 3.819500	1.155e-02	9.158e-01	test
Sox2-hU6@00033	-5.874e-01	 3.281566	9.146e-01	3.541e-01	test
Sox2-hU6@00034	 6.617e-01	 6.655438	4.201e+00	5.847e-02	test
