logFC	logCPM	F	PValue	status
Sox2-hU6@27306	 5.165e+00	 8.153941	1.978e+02	1.778e-10	posMcherry
Sox2-hU6@27307	 5.243e+00	 9.564752	1.862e+02	2.787e-10	posMcherry
Sox2-hU6@27297	 4.923e+00	 9.282250	1.815e+02	3.380e-10	posMcherry
Sox2-hU6@27304	 5.067e+00	 9.542615	1.437e+02	2.736e-09	posMcherry
Sox2-hU6@27296	 5.103e+00	 9.380388	1.458e+02	2.764e-09	posMcherry
Sox2-hU6@27298	 4.919e+00	10.093438	1.323e+02	3.663e-09	posMcherry
Sox2-hU6@27295	 4.758e+00	10.515543	1.176e+02	8.029e-09	posMcherry
Sox2-hU6@27305	 5.138e+00	11.095153	1.056e+02	2.491e-08	posMcherry
Sox2-hU6@27294	 5.732e+00	 8.277827	1.355e+02	8.210e-08	posMcherry
Sox2-hU6@13411	 1.877e+00	 7.246440	3.531e+01	1.994e-05	test
Sox2-hU6@01330	-6.291e+00	 2.504546	2.980e+01	5.097e-05	test
Sox2-hU6@13340	 2.166e+00	 5.023121	2.648e+01	9.502e-05	test
Sox2-hU6@17367	 2.055e+00	 6.691978	2.801e+01	1.178e-04	test
Sox2-hU6@13333	 1.930e+00	 6.196528	2.557e+01	1.276e-04	test
Sox2-hU6@13400	 2.174e+00	 5.003323	2.437e+01	1.451e-04	test
Sox2-hU6@20261	 1.760e+00	 6.732485	2.351e+01	2.206e-04	test
Sox2-hU6@23591	 1.691e+00	 8.176542	2.334e+01	2.302e-04	test
Sox2-hU6@26511	 2.643e+00	 4.428965	2.159e+01	2.733e-04	test
Sox2-hU6@19351	 2.817e+00	 7.117013	3.011e+01	3.561e-04	test
Sox2-hU6@14500	 1.441e+00	 6.386966	1.999e+01	3.783e-04	test
Sox2-hU6@13298	 1.599e+00	 5.708317	1.988e+01	3.879e-04	test
Sox2-hU6@13371	 1.831e+00	 6.053257	2.040e+01	4.071e-04	test
Sox2-hU6@18555	 2.143e+00	 4.517990	1.956e+01	4.187e-04	test
Sox2-hU6@22193	 1.892e+00	 4.994919	1.943e+01	4.312e-04	test
Sox2-hU6@25130	 2.411e+00	 6.689373	2.414e+01	5.843e-04	test
Sox2-hU6@13399	 2.142e+00	 4.437261	1.791e+01	6.242e-04	test
Sox2-hU6@10504	-2.824e+00	 3.384392	1.728e+01	7.311e-04	test
Sox2-hU6@03861	-3.025e+00	 3.280010	1.721e+01	7.424e-04	test
Sox2-hU6@04738	-2.945e+00	 3.803786	1.742e+01	7.596e-04	test
Sox2-hU6@27308	 2.295e+00	 4.234185	1.648e+01	8.972e-04	posMcherry
Sox2-hU6@04700	 1.405e+00	 6.115400	1.610e+01	9.912e-04	test
Sox2-hU6@12393	 1.620e+00	 5.847380	1.616e+01	1.016e-03	test
Sox2-hU6@09598	 1.399e+00	 5.751392	1.576e+01	1.084e-03	test
Sox2-hU6@09708	 2.288e+00	 4.606577	1.621e+01	1.094e-03	test
Sox2-hU6@01645	 3.792e+00	 4.916212	2.201e+01	1.107e-03	test
Sox2-hU6@24182	 1.376e+00	 5.869170	1.557e+01	1.140e-03	test
Sox2-hU6@12873	 2.368e+00	 4.431583	1.601e+01	1.144e-03	test
Sox2-hU6@12936	 4.063e+00	 3.079277	1.602e+01	1.232e-03	test
Sox2-hU6@19452	 1.703e+00	 5.177909	1.526e+01	1.238e-03	test
Sox2-hU6@17623	 1.892e+00	 5.103992	1.515e+01	1.378e-03	test
Sox2-hU6@04817	-4.220e+00	 2.128085	1.463e+01	1.473e-03	test
Sox2-hU6@14760	 2.883e+00	 3.559380	1.462e+01	1.552e-03	test
Sox2-hU6@20886	 2.818e+00	 3.142714	1.441e+01	1.563e-03	test
Sox2-hU6@04962	 1.192e+00	 6.432619	1.419e+01	1.664e-03	test
Sox2-hU6@24410	-1.238e+00	 6.028574	1.418e+01	1.670e-03	test
Sox2-hU6@26396	 1.186e+00	 6.250354	1.417e+01	1.675e-03	test
Sox2-hU6@13302	 2.358e+00	 4.300774	1.456e+01	1.724e-03	test
Sox2-hU6@08312	 1.963e+00	 4.428933	1.388e+01	1.818e-03	test
Sox2-hU6@13311	 3.403e+00	 3.172800	1.407e+01	1.904e-03	test
Sox2-hU6@09286	 2.097e+00	 3.934277	1.364e+01	1.944e-03	test
Sox2-hU6@03197	 2.437e+00	 3.655259	1.352e+01	2.017e-03	test
Sox2-hU6@22493	 2.685e+00	 4.193323	1.454e+01	2.061e-03	test
Sox2-hU6@17196	 1.611e+00	 5.364146	1.345e+01	2.099e-03	test
Sox2-hU6@15654	 1.587e+00	 4.856496	1.331e+01	2.143e-03	test
Sox2-hU6@09686	 1.731e+00	 5.345024	1.367e+01	2.146e-03	test
Sox2-hU6@17658	 3.408e+00	 2.995018	1.346e+01	2.153e-03	test
Sox2-hU6@04880	 1.394e+00	 5.543526	1.324e+01	2.185e-03	test
Sox2-hU6@08542	 1.445e+00	 5.380285	1.294e+01	2.386e-03	test
Sox2-hU6@07134	 3.433e+00	 3.408205	1.375e+01	2.511e-03	test
Sox2-hU6@25260	-3.924e+00	 2.262834	1.270e+01	2.559e-03	test
Sox2-hU6@21598	 1.999e+00	 5.809700	1.462e+01	2.601e-03	test
Sox2-hU6@15204	 2.001e+00	 4.767529	1.297e+01	2.683e-03	test
Sox2-hU6@03452	 1.671e+00	 4.481301	1.239e+01	2.813e-03	test
Sox2-hU6@20046	 1.557e+00	 5.166174	1.238e+01	2.818e-03	test
Sox2-hU6@24171	 1.408e+00	 5.342366	1.230e+01	2.889e-03	test
Sox2-hU6@01782	 2.709e+00	 3.802701	1.280e+01	2.927e-03	test
Sox2-hU6@13288	 1.665e+00	 4.717300	1.217e+01	3.006e-03	test
Sox2-hU6@26578	 2.906e+00	 3.513882	1.253e+01	3.055e-03	test
Sox2-hU6@11581	 2.319e+00	 4.049519	1.229e+01	3.230e-03	test
Sox2-hU6@02550	 2.123e+00	 3.731858	1.191e+01	3.249e-03	test
Sox2-hU6@00689	 1.898e+00	 5.197591	1.275e+01	3.274e-03	test
Sox2-hU6@07197	-3.005e+00	 2.668342	1.186e+01	3.303e-03	test
Sox2-hU6@22021	 2.373e+00	 3.581817	1.184e+01	3.323e-03	test
Sox2-hU6@21489	 2.972e+00	 3.119137	1.192e+01	3.332e-03	test
Sox2-hU6@16092	 1.799e+00	 4.155056	1.179e+01	3.373e-03	test
