logFC	logCPM	F	PValue	status
SIN3A@14469	 4.673e+00	11.950089	1.673e+02	2.176e-07	mCherry
SIN3A@14470	 3.658e+00	11.214579	9.337e+01	2.966e-06	mCherry
SIN3A@14468	 4.536e+00	10.777472	7.279e+01	8.740e-06	mCherry
SIN3A@14471	 3.431e+00	10.101999	4.362e+01	7.337e-05	mCherry
SIN3A@14467	 4.783e+00	 8.451517	3.886e+01	1.160e-04	mCherry
SIN3A@08054	 4.917e+00	 7.819883	3.057e+01	2.915e-04	test
SIN3A@08020	 6.390e+00	 7.109116	2.875e+01	3.662e-04	test
SIN3A@07367	 9.523e+00	 6.762198	2.669e+01	4.809e-04	test
SIN3A@06211	 6.298e+00	 7.895550	2.440e+01	6.641e-04	test
SIN3A@08034	 3.406e+00	 8.475687	2.232e+01	9.077e-04	test
SIN3A@07904	 6.089e+00	 6.437837	2.168e+01	9.597e-04	test
SIN3A@07821	 3.231e+00	 9.484071	2.107e+01	1.107e-03	test
SIN3A@08200	 3.230e+00	 7.417990	1.580e+01	2.749e-03	test
SIN3A@08019	 4.755e+00	 6.611922	1.518e+01	3.224e-03	test
SIN3A@07966	 4.762e+00	 6.575298	1.508e+01	3.286e-03	test
SIN3A@03064	 1.030e+01	 4.608511	1.495e+01	3.376e-03	test
SIN3A@07917	 2.266e+00	 8.360764	1.478e+01	3.386e-03	test
SIN3A@07852	 4.919e+00	 6.766480	1.483e+01	3.459e-03	test
SIN3A@07871	 2.837e+00	 7.705555	1.467e+01	3.519e-03	test
SIN3A@01236	 6.057e+00	 5.799577	1.467e+01	3.577e-03	test
SIN3A@02451	 8.470e+00	 5.595362	1.454e+01	3.677e-03	test
SIN3A@07847	 2.787e+00	 8.126830	1.448e+01	3.726e-03	test
SIN3A@07938	 3.732e+00	 7.167292	1.415e+01	3.994e-03	test
SIN3A@05413	 5.853e+00	 5.735878	1.385e+01	4.260e-03	test
SIN3A@08023	 9.074e+00	 5.592291	1.378e+01	4.324e-03	test
SIN3A@01679	 5.709e+00	 6.118119	1.370e+01	4.400e-03	test
SIN3A@07729	 4.216e+00	 7.064204	1.358e+01	4.514e-03	test
SIN3A@07818	 2.404e+00	 8.006265	1.336e+01	4.603e-03	test
SIN3A@02167	 5.539e+00	 6.343929	1.344e+01	4.656e-03	test
SIN3A@04774	 7.617e+00	 4.868170	1.307e+01	4.967e-03	test
SIN3A@04948	 8.953e+00	 5.947868	1.301e+01	5.119e-03	test
SIN3A@07942	 8.311e+00	 6.114751	1.296e+01	5.180e-03	test
SIN3A@08738	 9.121e+00	 5.437569	1.293e+01	5.221e-03	test
SIN3A@01193	 8.901e+00	 5.595545	1.257e+01	5.659e-03	test
SIN3A@08074	 4.251e+00	 6.900992	1.250e+01	5.750e-03	test
SIN3A@07891	 4.180e+00	 7.389251	1.245e+01	5.822e-03	test
SIN3A@01265	 1.158e+01	 4.536937	1.288e+01	6.298e-03	test
SIN3A@11022	-8.741e+00	 4.428758	1.198e+01	6.333e-03	test
SIN3A@07989	 5.239e+00	 7.201513	1.197e+01	6.502e-03	test
SIN3A@02683	 5.015e+00	 6.077907	1.186e+01	6.677e-03	test
SIN3A@09174	 1.129e+01	 4.253497	1.257e+01	6.729e-03	test
SIN3A@08013	 3.015e+00	 7.395708	1.146e+01	7.355e-03	test
SIN3A@09726	-1.027e+01	 4.527464	1.145e+01	7.369e-03	test
SIN3A@07993	 4.704e+00	 6.885388	1.143e+01	7.408e-03	test
SIN3A@04609	 5.643e+00	 6.444246	1.130e+01	7.640e-03	test
SIN3A@07950	 3.292e+00	 7.451916	1.128e+01	7.686e-03	test
SIN3A@07991	 5.513e+00	 5.561438	1.110e+01	8.036e-03	test
SIN3A@07997	 4.755e+00	 5.715228	1.088e+01	8.286e-03	test
SIN3A@08237	 7.224e+00	 5.037471	1.096e+01	8.316e-03	test
SIN3A@08008	 4.087e+00	 7.563880	1.085e+01	8.554e-03	test
SIN3A@03456	 6.295e+00	 5.052322	1.084e+01	8.572e-03	test
SIN3A@07853	 3.943e+00	 7.184570	1.082e+01	8.620e-03	test
SIN3A@01988	 5.756e+00	 5.544954	1.080e+01	8.648e-03	test
SIN3A@09982	 2.665e+00	 7.340715	1.069e+01	8.714e-03	test
SIN3A@07998	 4.466e+00	 6.262954	1.076e+01	8.747e-03	test
SIN3A@00543	-5.409e+00	 5.235025	1.067e+01	8.749e-03	test
SIN3A@07609	 6.047e+00	 5.194490	1.063e+01	9.028e-03	test
SIN3A@07994	 5.210e+00	 5.424322	1.055e+01	9.095e-03	test
SIN3A@07486	 6.302e+00	 5.096813	1.060e+01	9.112e-03	test
SIN3A@08590	-3.949e+00	 6.436127	1.052e+01	9.284e-03	test
SIN3A@01637	 4.812e+00	 6.459918	1.052e+01	9.301e-03	test
SIN3A@07932	 2.630e+00	 7.526320	1.050e+01	9.337e-03	test
SIN3A@03608	 3.691e+00	 6.489243	1.041e+01	9.364e-03	test
SIN3A@08053	 3.186e+00	 7.559373	1.048e+01	9.400e-03	test
SIN3A@12710	 1.151e+01	 4.465320	1.101e+01	9.565e-03	test
SIN3A@07849	 3.818e+00	 7.504081	1.021e+01	1.008e-02	test
SIN3A@07848	 2.162e+00	 8.869790	1.005e+01	1.049e-02	test
SIN3A@09051	 5.360e+00	 5.308873	1.003e+01	1.053e-02	test
SIN3A@07199	 8.265e+00	 4.963363	1.002e+01	1.059e-02	test
SIN3A@05253	 7.682e+00	 4.688231	9.931e+00	1.083e-02	test
