logFC	logCPM	F	PValue	status
SIN3A@11022	-9.167e+00	 3.770436	2.176e+01	0.0003835	test
SIN3A@08054	 4.691e+00	 7.900992	2.069e+01	0.0004938	test
SIN3A@07367	 8.711e+00	 6.288785	1.891e+01	0.0007198	test
SIN3A@08020	 5.834e+00	 6.876752	1.817e+01	0.0008469	test
SIN3A@09726	-8.859e+00	 3.871798	1.805e+01	0.0008696	test
SIN3A@04774	 8.036e+00	 5.616882	1.698e+01	0.0011096	test
SIN3A@06211	 5.683e+00	 7.602558	1.683e+01	0.0011495	test
SIN3A@07863	 8.041e+00	 6.015680	1.663e+01	0.0012033	test
SIN3A@07966	 4.607e+00	 6.724204	1.638e+01	0.0012629	test
SIN3A@01679	 5.767e+00	 6.489416	1.578e+01	0.0014751	test
SIN3A@07852	 5.021e+00	 7.169407	1.572e+01	0.0014970	test
SIN3A@07991	 5.923e+00	 6.277772	1.511e+01	0.0017412	test
SIN3A@07904	 5.453e+00	 6.126334	1.483e+01	0.0018652	test
SIN3A@07994	 5.415e+00	 5.933641	1.455e+01	0.0019783	test
SIN3A@08019	 4.660e+00	 6.819493	1.449e+01	0.0020343	test
SIN3A@07998	 5.505e+00	 7.578300	1.441e+01	0.0020774	test
SIN3A@08017	 1.172e+01	 5.200616	1.492e+01	0.0020869	test
SIN3A@07997	 5.352e+00	 6.601412	1.436e+01	0.0021023	test
SIN3A@11112	 9.071e+00	 5.732229	1.410e+01	0.0022509	test
SIN3A@02587	 7.293e+00	 5.182593	1.390e+01	0.0023717	test
SIN3A@05938	-8.999e+00	 2.758421	1.362e+01	0.0025511	test
SIN3A@07821	 3.201e+00	 9.710943	1.359e+01	0.0025669	test
SIN3A@01637	 4.837e+00	 6.785280	1.322e+01	0.0028380	test
SIN3A@02167	 5.143e+00	 6.265594	1.316e+01	0.0028794	test
SIN3A@05253	 8.411e+00	 5.746160	1.311e+01	0.0029198	test
SIN3A@07942	 8.121e+00	 6.256401	1.310e+01	0.0029299	test
SIN3A@05710	 8.396e+00	 5.261144	1.297e+01	0.0030327	test
SIN3A@13754	-6.830e+00	 3.470564	1.262e+01	0.0032868	test
SIN3A@05413	 5.457e+00	 5.660443	1.255e+01	0.0034019	test
SIN3A@02323	 5.680e+00	 6.037529	1.253e+01	0.0034216	test
SIN3A@11719	 6.557e+00	 5.747068	1.250e+01	0.0034507	test
SIN3A@11400	 9.432e+00	 5.245572	1.216e+01	0.0037875	test
SIN3A@08216	 6.980e+00	 5.463205	1.216e+01	0.0037910	test
SIN3A@07938	 3.818e+00	 7.524234	1.214e+01	0.0038189	test
SIN3A@01193	 8.258e+00	 5.295700	1.213e+01	0.0038227	test
SIN3A@07729	 3.889e+00	 7.035848	1.207e+01	0.0038940	test
SIN3A@01545	-9.149e+00	 2.902155	1.188e+01	0.0040995	test
SIN3A@08023	 8.756e+00	 5.619129	1.175e+01	0.0042557	test
SIN3A@01908	-4.976e+00	 4.374460	1.165e+01	0.0043070	test
SIN3A@02977	 5.766e+00	 4.966758	1.162e+01	0.0043500	test
SIN3A@01988	 5.421e+00	 5.528692	1.161e+01	0.0044299	test
SIN3A@03402	 5.166e+00	 5.688942	1.156e+01	0.0044967	test
SIN3A@00502	-5.613e+00	 4.153281	1.154e+01	0.0045177	test
SIN3A@07468	 7.442e+00	 4.911728	1.154e+01	0.0045300	test
SIN3A@11530	 5.429e+00	 6.154825	1.143e+01	0.0046683	test
SIN3A@03159	 7.549e+00	 5.133637	1.133e+01	0.0048021	test
SIN3A@08560	 1.070e+01	 4.192996	1.167e+01	0.0048159	test
SIN3A@03064	 9.375e+00	 4.096141	1.120e+01	0.0049970	test
SIN3A@07853	 4.456e+00	 7.964872	1.118e+01	0.0050290	test
SIN3A@08055	 5.410e+00	 6.174544	1.112e+01	0.0051115	test
SIN3A@11418	 8.314e+00	 5.177257	1.110e+01	0.0051378	test
SIN3A@08012	 3.374e+00	 7.023206	1.106e+01	0.0051992	test
SIN3A@07870	 6.879e+00	 5.532285	1.105e+01	0.0052115	test
SIN3A@01265	 1.069e+01	 4.182624	1.125e+01	0.0054222	test
SIN3A@11767	-6.715e+00	 3.493621	1.077e+01	0.0056748	test
SIN3A@02415	 6.871e+00	 4.854773	1.075e+01	0.0056982	test
SIN3A@08038	 5.498e+00	 5.171266	1.068e+01	0.0057681	test
SIN3A@09910	 6.475e+00	 5.871903	1.070e+01	0.0057989	test
SIN3A@07993	 4.331e+00	 6.820625	1.059e+01	0.0059801	test
SIN3A@08738	 8.380e+00	 5.046248	1.054e+01	0.0060777	test
SIN3A@02451	 7.962e+00	 5.424794	1.052e+01	0.0061048	test
SIN3A@01087	 6.152e+00	 4.760398	1.046e+01	0.0061578	test
SIN3A@01536	-5.564e+00	 3.822983	1.039e+01	0.0062851	test
SIN3A@08013	 3.485e+00	 8.085405	1.040e+01	0.0063466	test
SIN3A@04953	-6.118e+00	 3.220193	1.029e+01	0.0064741	test
SIN3A@07847	 2.750e+00	 8.323851	1.026e+01	0.0066191	test
SIN3A@06666	 3.992e+00	 6.737662	1.019e+01	0.0067640	test
SIN3A@07815	 2.641e+00	 8.058560	1.019e+01	0.0067640	test
SIN3A@08151	 3.915e+00	 7.038340	1.010e+01	0.0069497	test
