logFC	logCPM	F	PValue	status
SIN3A@14467	 3.672e+00	 8.109507	2.473e+01	0.001090	pos
SIN3A@01522	 7.938e+00	 4.009066	2.352e+01	0.001275	test
SIN3A@14469	 3.743e+00	10.999210	2.152e+01	0.001672	pos
SIN3A@14468	 3.506e+00	 9.566241	2.082e+01	0.001845	pos
SIN3A@14471	 3.153e+00	 9.641701	1.957e+01	0.002217	pos
SIN3A@08054	 2.835e+00	 7.023401	1.898e+01	0.002426	test
SIN3A@14470	 2.543e+00	10.172901	1.768e+01	0.002950	pos
SIN3A@07939	 2.993e+00	 6.683400	1.763e+01	0.003007	test
SIN3A@07891	 3.418e+00	 6.713323	1.606e+01	0.003911	test
SIN3A@07927	 3.696e+00	 6.618182	1.577e+01	0.004116	test
SIN3A@07904	 2.688e+00	 6.125107	1.488e+01	0.004830	test
SIN3A@07938	 2.586e+00	 6.658639	1.488e+01	0.004836	test
SIN3A@08020	 2.453e+00	 6.716342	1.487e+01	0.004841	test
SIN3A@07852	 3.568e+00	 6.319485	1.448e+01	0.005204	test
SIN3A@08200	 2.138e+00	 6.688775	1.407e+01	0.005533	test
SIN3A@13791	-4.575e+00	 3.957936	1.393e+01	0.005578	test
SIN3A@07966	 3.210e+00	 5.849414	1.302e+01	0.006905	test
SIN3A@08034	 2.503e+00	 7.589351	1.284e+01	0.007159	test
SIN3A@08019	 2.804e+00	 6.640810	1.258e+01	0.007545	test
SIN3A@07871	 2.188e+00	 6.987252	1.229e+01	0.008011	test
SIN3A@05466	-4.408e+00	 4.141618	1.215e+01	0.008091	test
SIN3A@06211	 2.939e+00	 7.040873	1.220e+01	0.008166	test
SIN3A@07998	 2.700e+00	 6.294025	1.219e+01	0.008186	test
SIN3A@08074	 3.101e+00	 5.997723	1.196e+01	0.008594	test
SIN3A@08013	 2.270e+00	 6.908606	1.196e+01	0.008606	test
SIN3A@08572	 4.509e+00	 3.839080	1.169e+01	0.008839	test
SIN3A@07905	 3.246e+00	 6.100517	1.167e+01	0.009148	test
SIN3A@06148	-3.388e+00	 5.045306	1.140e+01	0.009629	test
SIN3A@07851	 2.407e+00	 7.000430	1.123e+01	0.010082	test
SIN3A@08191	 1.784e+00	 6.851235	1.091e+01	0.010520	test
SIN3A@14130	-1.901e+00	 6.121820	1.073e+01	0.010963	negative
SIN3A@08338	 5.073e+00	 5.164951	1.083e+01	0.011023	test
SIN3A@07850	 1.766e+00	 8.215656	1.071e+01	0.011242	test
SIN3A@07834	 2.882e+00	 6.588941	1.057e+01	0.011695	test
SIN3A@08939	-3.173e+00	 4.569057	1.045e+01	0.011705	test
SIN3A@03330	 3.025e+00	 5.185809	1.038e+01	0.012131	test
SIN3A@07925	 2.260e+00	 6.526775	1.041e+01	0.012135	test
