logFC	logCPM	F	PValue	status
SIN3A@14421	-2.756e+00	 6.11632	1.392e+01	0.005341	negative
SIN3A@11400	 7.023e+00	 4.41539	1.223e+01	0.007575	test
SIN3A@13791	-5.548e+00	 3.88542	1.193e+01	0.007836	test
SIN3A@00672	 7.105e+00	 4.64591	1.128e+01	0.009353	test
SIN3A@01522	 7.040e+00	 3.07828	1.086e+01	0.010296	test
SIN3A@11077	 7.104e+00	 4.64477	1.079e+01	0.010448	test
SIN3A@10838	-2.411e+00	 6.04058	1.047e+01	0.011176	test
SIN3A@13742	-6.502e+00	 2.53267	9.639e+00	0.013806	test
SIN3A@07832	 2.506e+00	 6.73845	9.026e+00	0.016135	test
SIN3A@14466	 5.371e+00	 8.32178	8.862e+00	0.016842	pos
SIN3A@14462	 5.266e+00	 9.39570	8.277e+00	0.019698	pos
SIN3A@04096	 5.778e+00	 4.95744	8.140e+00	0.020452	test
SIN3A@08644	-3.593e+00	 5.06519	7.947e+00	0.021132	test
SIN3A@00292	-4.838e+00	 3.69722	7.714e+00	0.023039	test
SIN3A@09349	-2.630e+00	 5.73755	7.681e+00	0.023258	test
SIN3A@00977	-4.141e+00	 3.97489	7.543e+00	0.023722	test
SIN3A@12927	-4.400e+00	 3.92173	7.528e+00	0.023964	test
SIN3A@14465	 3.931e+00	 9.87294	7.378e+00	0.025375	pos
SIN3A@11603	-4.115e+00	 3.98063	7.260e+00	0.025779	test
SIN3A@14464	 4.837e+00	10.57275	7.241e+00	0.026409	pos
SIN3A@07011	 1.982e+00	 6.78692	7.207e+00	0.026675	test
SIN3A@10597	 2.568e+00	 6.59526	7.130e+00	0.027287	test
SIN3A@05990	-2.885e+00	 5.47444	7.005e+00	0.027971	test
SIN3A@12275	-4.358e+00	 2.95998	6.942e+00	0.028382	test
SIN3A@10646	-4.327e+00	 2.65026	6.937e+00	0.028401	test
SIN3A@05627	-3.745e+00	 4.59967	6.934e+00	0.028429	test
SIN3A@07855	 3.264e+00	 5.58080	6.836e+00	0.029805	test
SIN3A@12829	-3.660e+00	 4.67437	6.775e+00	0.029839	test
SIN3A@07938	 2.477e+00	 6.52318	6.646e+00	0.031589	test
SIN3A@07561	 5.766e+00	 4.84160	6.640e+00	0.031645	test
SIN3A@07907	 3.810e+00	 5.45275	6.637e+00	0.031677	test
SIN3A@07908	 7.224e+00	 2.94040	6.565e+00	0.032384	test
SIN3A@02789	-3.862e+00	 3.36081	6.483e+00	0.032685	test
SIN3A@11291	-4.052e+00	 3.24730	6.472e+00	0.032798	test
SIN3A@08338	 4.761e+00	 4.82125	6.516e+00	0.032887	test
SIN3A@04192	-3.615e+00	 4.51725	6.429e+00	0.033247	test
SIN3A@07815	 2.169e+00	 7.30376	6.476e+00	0.033300	test
SIN3A@10431	-3.332e+00	 5.25167	6.470e+00	0.033353	test
SIN3A@07901	 1.873e+00	 7.13569	6.442e+00	0.033646	test
SIN3A@14463	 3.662e+00	10.36205	6.433e+00	0.033741	pos
SIN3A@07999	 1.903e+00	 7.05933	6.428e+00	0.033794	test
SIN3A@00889	-1.983e+00	 6.28790	6.347e+00	0.034670	test
SIN3A@02689	-3.931e+00	 3.69946	6.281e+00	0.034931	test
SIN3A@07853	 4.007e+00	 7.07505	6.307e+00	0.035114	test
SIN3A@08054	 2.823e+00	 6.96942	6.252e+00	0.035733	test
SIN3A@13239	-3.047e+00	 5.26777	6.217e+00	0.035807	test
SIN3A@10515	-4.042e+00	 3.56187	6.218e+00	0.035814	test
SIN3A@06626	 3.199e+00	 6.38528	6.199e+00	0.036334	test
SIN3A@09237	-3.883e+00	 3.33781	6.115e+00	0.036757	test
SIN3A@11586	-3.929e+00	 3.13336	6.114e+00	0.036774	test
SIN3A@01345	-3.639e+00	 3.65833	6.068e+00	0.037329	test
SIN3A@01182	-3.920e+00	 2.87559	6.040e+00	0.037663	test
SIN3A@12745	-2.577e+00	 5.44159	5.996e+00	0.038218	test
SIN3A@07914	 2.077e+00	 6.95627	6.034e+00	0.038320	test
SIN3A@12760	-3.579e+00	 3.80804	5.944e+00	0.038868	test
SIN3A@07998	 3.617e+00	 7.07408	5.951e+00	0.039365	test
SIN3A@07828	 2.274e+00	 6.48490	5.945e+00	0.039441	test
SIN3A@03350	 2.014e+00	 5.89314	5.879e+00	0.040297	test
SIN3A@07827	 2.262e+00	 6.63233	5.876e+00	0.040338	test
SIN3A@12669	-3.611e+00	 3.78336	5.755e+00	0.041381	test
SIN3A@12875	-3.576e+00	 3.32851	5.677e+00	0.042480	test
SIN3A@10451	-4.250e+00	 1.58462	5.670e+00	0.042583	test
SIN3A@02297	-3.633e+00	 3.88155	5.657e+00	0.042815	test
SIN3A@12763	 1.513e+00	 6.86878	5.622e+00	0.043426	test
SIN3A@01941	 2.795e+00	 6.05102	5.635e+00	0.043691	test
SIN3A@01958	 2.915e+00	 5.74025	5.622e+00	0.043882	test
SIN3A@02673	-3.714e+00	 2.89544	5.566e+00	0.044113	test
SIN3A@09484	-3.921e+00	 2.75917	5.557e+00	0.044312	test
SIN3A@14441	-1.795e+00	 6.06645	5.577e+00	0.044558	negative
SIN3A@10598	-3.535e+00	 4.48765	5.534e+00	0.044748	test
SIN3A@13028	-2.962e+00	 5.05391	5.504e+00	0.045056	test
SIN3A@04486	-2.398e+00	 5.98834	5.486e+00	0.045946	test
SIN3A@03692	-1.721e+00	 6.29653	5.434e+00	0.046757	test
SIN3A@07994	 3.839e+00	 5.58818	5.434e+00	0.046769	test
SIN3A@08488	 4.619e+00	 4.62456	5.414e+00	0.047080	test
SIN3A@11409	-3.804e+00	 2.41508	5.375e+00	0.047099	test
SIN3A@04090	 1.879e+00	 6.33404	5.407e+00	0.047193	test
SIN3A@07830	 2.622e+00	 6.88037	5.363e+00	0.047910	test
SIN3A@12130	-3.431e+00	 3.40499	5.286e+00	0.048578	test
SIN3A@08654	 2.002e+00	 6.46111	5.292e+00	0.049096	test
SIN3A@06523	-3.289e+00	 4.09481	5.232e+00	0.049493	test
SIN3A@08533	 1.771e+00	 5.99913	5.224e+00	0.050264	test
SIN3A@01641	-3.332e+00	 3.79751	5.152e+00	0.050908	test
SIN3A@04697	 1.687e+00	 5.93543	5.135e+00	0.051219	test
SIN3A@08012	 2.073e+00	 6.60725	5.160e+00	0.051411	test
SIN3A@05215	-2.513e+00	 5.31716	5.116e+00	0.051566	test
SIN3A@12394	-3.275e+00	 4.53570	5.063e+00	0.052582	test
