logFC	logCPM	F	PValue	status
SIN3A@13791	-4.9776907	 3.37765	2.064e+01	0.0009945	test
SIN3A@01522	 7.5481259	 4.01424	1.510e+01	0.0029869	test
SIN3A@11291	-4.3355165	 2.73719	1.302e+01	0.0045695	test
SIN3A@13742	-5.6402345	 2.01935	1.300e+01	0.0046230	test
SIN3A@11077	 6.4657815	 4.43594	1.101e+01	0.0077015	test
SIN3A@09349	-2.3063247	 5.43899	1.001e+01	0.0097676	test
SIN3A@02789	-3.5969622	 2.92103	9.754e+00	0.0104659	test
SIN3A@11400	 6.2268909	 4.05024	9.779e+00	0.0106532	test
SIN3A@02710	-3.0997286	 3.53780	9.436e+00	0.0114363	test
SIN3A@11409	-4.2725355	 1.90500	9.316e+00	0.0118309	test
SIN3A@04697	 1.7647484	 6.24793	9.011e+00	0.0130170	test
SIN3A@05338	-3.8705264	 2.37347	8.854e+00	0.0135090	test
SIN3A@08939	-2.8496815	 4.15651	8.852e+00	0.0135150	test
SIN3A@07907	 3.6865844	 5.71230	8.901e+00	0.0136226	test
SIN3A@10598	-2.8984885	 4.14061	8.509e+00	0.0149521	test
SIN3A@07938	 2.5324255	 6.88642	8.563e+00	0.0150283	test
SIN3A@04096	 5.2116503	 4.81290	8.173e+00	0.0168735	test
SIN3A@13105	-2.9630390	 3.94881	8.084e+00	0.0169972	test
SIN3A@08054	 2.8291069	 7.30973	8.083e+00	0.0173400	test
SIN3A@12654	-1.8184258	 5.50894	7.942e+00	0.0177535	test
SIN3A@07966	 2.9490048	 5.91510	7.990e+00	0.0178347	test
SIN3A@08338	 4.9251215	 5.38347	7.951e+00	0.0180458	test
SIN3A@08572	 3.9320593	 3.63543	7.638e+00	0.0195701	test
SIN3A@14414	-1.1905684	 6.59165	7.493e+00	0.0204281	negative
SIN3A@06211	 2.3709707	 6.81262	7.217e+00	0.0227048	test
SIN3A@07855	 2.9368690	 5.62900	7.184e+00	0.0229443	test
SIN3A@07852	 3.3015274	 6.39118	7.156e+00	0.0231562	test
SIN3A@07848	 1.7101174	 8.30655	7.127e+00	0.0233706	test
SIN3A@08020	 1.9642051	 6.54362	7.084e+00	0.0236997	test
SIN3A@07850	 1.7373457	 8.40002	6.951e+00	0.0247461	test
SIN3A@07828	 2.6465552	 7.12389	6.933e+00	0.0248891	test
SIN3A@07468	 4.2263063	 4.04340	6.920e+00	0.0249968	test
SIN3A@07994	 3.5454044	 5.68443	6.873e+00	0.0253847	test
SIN3A@07815	 1.8872926	 7.34174	6.867e+00	0.0254369	test
SIN3A@13028	-2.3345195	 4.78965	6.802e+00	0.0255729	test
SIN3A@11309	 6.6106467	 1.13196	6.788e+00	0.0260982	test
SIN3A@13761	-2.0207738	 5.05715	6.721e+00	0.0262737	test
SIN3A@07925	 1.9410179	 6.49513	6.760e+00	0.0263443	test
SIN3A@07993	 2.1714448	 6.28351	6.749e+00	0.0264457	test
SIN3A@14423	-2.7864152	 4.02826	6.656e+00	0.0271379	negative
SIN3A@07901	 1.7906778	 7.32687	6.657e+00	0.0272689	test
SIN3A@07561	 5.3614025	 4.85693	6.616e+00	0.0276413	test
SIN3A@01958	 2.5944329	 5.78231	6.607e+00	0.0277197	test
SIN3A@07858	 1.4470633	 6.34140	6.496e+00	0.0285111	test
SIN3A@07939	 2.7145585	 6.72416	6.403e+00	0.0296945	test
SIN3A@07827	 2.1491354	 6.82685	6.366e+00	0.0300790	test
SIN3A@12394	-2.4624561	 4.26912	6.288e+00	0.0304380	test
SIN3A@07998	 3.2303132	 7.07600	6.311e+00	0.0306420	test
SIN3A@07821	 1.9346411	 9.19306	6.309e+00	0.0306691	test
SIN3A@00977	-2.7987739	 3.68994	6.279e+00	0.0307020	test
SIN3A@14130	-1.7899067	 5.82190	6.296e+00	0.0308049	negative
SIN3A@11603	-2.7528694	 3.70411	6.247e+00	0.0309707	test
SIN3A@00889	-1.6118196	 6.11579	6.251e+00	0.0312783	test
SIN3A@12734	-3.0994065	 3.16047	6.166e+00	0.0320868	test
SIN3A@07905	 2.9815684	 6.16375	6.142e+00	0.0324746	test
SIN3A@01637	 1.6193894	 6.15982	6.142e+00	0.0324801	test
SIN3A@08012	 2.0145063	 6.83656	6.115e+00	0.0327823	test
SIN3A@07927	 3.1415003	 6.42000	6.065e+00	0.0333574	test
SIN3A@00672	 6.1393466	 4.11239	6.056e+00	0.0334652	test
SIN3A@07830	 2.6425918	 7.22171	6.028e+00	0.0337997	test
SIN3A@07818	 1.3164173	 7.66093	5.953e+00	0.0342313	test
SIN3A@10451	-3.5693014	 1.18960	5.892e+00	0.0349757	test
SIN3A@11214	-2.5940047	 3.43701	5.877e+00	0.0351626	test
SIN3A@05058	 2.7107593	 5.89411	5.855e+00	0.0359192	test
SIN3A@10976	-3.1832367	 2.48165	5.803e+00	0.0361018	test
SIN3A@10995	 5.0578851	 1.57031	5.767e+00	0.0367841	test
SIN3A@07914	 1.9646136	 7.13783	5.766e+00	0.0370700	test
SIN3A@08053	 1.4269625	 7.28257	5.761e+00	0.0371316	test
SIN3A@14121	-1.0517040	 6.52444	5.715e+00	0.0372668	negative
SIN3A@02125	 1.6331244	 6.46864	5.707e+00	0.0378602	test
SIN3A@11069	-3.3582954	 3.15284	5.664e+00	0.0384525	test
SIN3A@07870	 3.9542605	 5.25379	5.660e+00	0.0385004	test
SIN3A@07891	 2.8013693	 6.45150	5.619e+00	0.0390763	test
SIN3A@07999	 1.5359947	 7.00712	5.617e+00	0.0391025	test
SIN3A@07853	 3.5888364	 7.05556	5.578e+00	0.0396685	test
SIN3A@03222	 6.1355509	 2.44884	5.572e+00	0.0397461	test
SIN3A@10838	-1.5218097	 5.98128	5.539e+00	0.0402195	test
SIN3A@09732	 6.5231133	 2.93416	5.533e+00	0.0403187	test
SIN3A@14433	-1.1823750	 5.99751	5.470e+00	0.0407526	negative
SIN3A@09622	-2.1765168	 3.89982	5.448e+00	0.0410775	test
SIN3A@07957	 1.4163839	 7.16428	5.468e+00	0.0412804	test
SIN3A@07926	 1.2643310	 7.21430	5.435e+00	0.0414667	test
