logFC	logCPM	F	PValue	status
SIN3A@14469	 4.447e+00	11.756677	5.719e+01	4.936e-06	mCherry
SIN3A@14470	 3.227e+00	10.835962	4.528e+01	1.638e-05	mCherry
SIN3A@14468	 4.020e+00	10.311099	4.192e+01	2.406e-05	mCherry
SIN3A@14467	 4.737e+00	 8.361464	3.584e+01	5.156e-05	mCherry
SIN3A@14471	 3.200e+00	 9.928766	3.110e+01	1.002e-04	mCherry
SIN3A@08054	 4.812e+00	 7.756120	3.060e+01	1.080e-04	test
SIN3A@08020	 6.286e+00	 7.018714	2.852e+01	1.487e-04	test
SIN3A@07367	 9.386e+00	 6.637725	2.757e+01	1.731e-04	test
SIN3A@06211	 6.191e+00	 7.822221	2.618e+01	2.175e-04	test
SIN3A@07821	 3.346e+00	 9.615913	2.153e+01	5.006e-04	test
SIN3A@08034	 3.286e+00	 8.394406	2.103e+01	5.513e-04	test
SIN3A@07904	 5.987e+00	 6.353793	1.977e+01	6.916e-04	test
SIN3A@07852	 4.881e+00	 6.673157	1.583e+01	1.665e-03	test
SIN3A@07966	 4.678e+00	 6.493595	1.459e+01	2.230e-03	test
SIN3A@07938	 3.724e+00	 7.104111	1.447e+01	2.307e-03	test
SIN3A@07989	 5.225e+00	 7.088361	1.433e+01	2.385e-03	test
SIN3A@08200	 3.123e+00	 7.352888	1.424e+01	2.397e-03	test
SIN3A@08019	 4.667e+00	 6.528898	1.422e+01	2.452e-03	test
SIN3A@07729	 4.060e+00	 6.980662	1.390e+01	2.658e-03	test
SIN3A@02167	 5.565e+00	 6.219892	1.375e+01	2.757e-03	test
SIN3A@07942	 8.033e+00	 5.986081	1.369e+01	2.803e-03	test
SIN3A@04948	 8.735e+00	 5.785137	1.332e+01	3.083e-03	test
SIN3A@07847	 2.676e+00	 8.069487	1.329e+01	3.099e-03	test
SIN3A@07891	 4.049e+00	 7.290174	1.328e+01	3.110e-03	test
SIN3A@01679	 5.766e+00	 5.968859	1.319e+01	3.188e-03	test
