logFC	logCPM	F	PValue	status
SIN3A@08017	 1.217e+01	 5.1131458	1.859e+01	0.0002471	test
SIN3A@08487	 1.197e+01	 4.9199488	1.792e+01	0.0003009	test
SIN3A@11400	 9.374e+00	 5.1817773	1.546e+01	0.0006052	test
SIN3A@04556	 9.857e+00	 5.7428176	1.524e+01	0.0006499	test
SIN3A@11022	-1.160e+01	 4.5585558	1.506e+01	0.0007203	test
SIN3A@11112	 9.010e+00	 5.3890654	1.475e+01	0.0007631	test
SIN3A@07863	 8.183e+00	 5.7971441	1.407e+01	0.0009579	test
SIN3A@07855	 9.264e+00	 5.9476798	1.310e+01	0.0013349	test
SIN3A@07890	 9.744e+00	 4.7547878	1.287e+01	0.0014435	test
SIN3A@03256	 9.326e+00	 6.2170928	1.282e+01	0.0014697	test
SIN3A@05710	 8.494e+00	 5.0082549	1.278e+01	0.0014923	test
SIN3A@11767	-1.128e+01	 4.2419577	1.285e+01	0.0015070	test
SIN3A@10748	 9.952e+00	 5.0701270	1.258e+01	0.0015994	test
SIN3A@08433	 9.399e+00	 4.5269830	1.253e+01	0.0016289	test
SIN3A@01702	 1.152e+01	 4.4709563	1.251e+01	0.0017153	test
SIN3A@06795	 1.121e+01	 4.1696303	1.230e+01	0.0018428	test
SIN3A@11418	 8.366e+00	 5.0517060	1.214e+01	0.0018696	test
SIN3A@04774	 7.673e+00	 4.9849354	1.174e+01	0.0021566	test
SIN3A@05253	 8.374e+00	 5.2784082	1.164e+01	0.0022403	test
SIN3A@12953	 8.005e+00	 4.9849471	1.161e+01	0.0022656	test
SIN3A@07561	 7.729e+00	 5.5015860	1.140e+01	0.0024435	test
SIN3A@02293	 9.509e+00	 4.6350179	1.089e+01	0.0029509	test
SIN3A@07942	 7.101e+00	 5.1113131	1.084e+01	0.0030012	test
SIN3A@07887	 7.251e+00	 5.1710634	1.084e+01	0.0030047	test
SIN3A@11719	 6.748e+00	 5.5731674	1.077e+01	0.0030784	test
SIN3A@09726	-7.689e+00	 4.7330691	1.037e+01	0.0035874	test
SIN3A@02587	 7.129e+00	 4.8170930	1.035e+01	0.0036173	test
SIN3A@10719	 7.475e+00	 4.9082140	1.032e+01	0.0036565	test
SIN3A@08216	 6.826e+00	 4.9254350	1.029e+01	0.0036897	test
SIN3A@08092	 1.106e+01	 4.0190326	1.034e+01	0.0037543	test
SIN3A@08560	 1.078e+01	 3.7454644	1.018e+01	0.0039924	test
SIN3A@11077	 7.896e+00	 5.3677606	1.007e+01	0.0040147	test
SIN3A@00292	-6.978e+00	 4.6645532	9.831e+00	0.0043797	test
SIN3A@12654	-5.865e+00	 5.4471563	9.755e+00	0.0045001	test
SIN3A@07998	 5.508e+00	 7.3765831	9.772e+00	0.0045098	test
SIN3A@13194	 6.357e+00	 5.6941203	9.731e+00	0.0045812	test
SIN3A@01908	-6.113e+00	 5.1022177	9.708e+00	0.0045907	test
SIN3A@04486	-4.792e+00	 6.7342483	9.588e+00	0.0048019	test
SIN3A@09910	 6.255e+00	 5.4888674	9.547e+00	0.0049218	test
SIN3A@06276	 6.867e+00	 4.6286521	9.399e+00	0.0052163	test
SIN3A@00672	 6.999e+00	 4.5163513	9.362e+00	0.0052921	test
SIN3A@05087	-1.108e+01	 4.0387837	9.314e+00	0.0055558	test
