logFC	logCPM	F	PValue	status
SIN3A@11400	 1.036e+01	 5.814553	2.263e+01	0.001393	test
SIN3A@07863	 8.751e+00	 6.400575	2.171e+01	0.001582	test
SIN3A@08487	 1.257e+01	 5.528792	2.334e+01	0.001836	test
SIN3A@08017	 1.272e+01	 5.680239	2.067e+01	0.002569	test
SIN3A@11112	 9.607e+00	 5.930837	1.746e+01	0.003018	test
SIN3A@11719	 7.289e+00	 6.159756	1.687e+01	0.003329	test
SIN3A@05710	 9.117e+00	 5.646298	1.674e+01	0.003402	test
SIN3A@11022	-1.021e+01	 4.437343	1.636e+01	0.003463	test
SIN3A@08216	 7.389e+00	 5.552425	1.633e+01	0.003651	test
SIN3A@02231	 6.173e+00	 6.042742	1.633e+01	0.003653	test
SIN3A@02587	 7.830e+00	 5.394913	1.539e+01	0.004313	test
SIN3A@09910	 6.981e+00	 6.061465	1.528e+01	0.004402	test
SIN3A@04774	 8.296e+00	 5.552143	1.523e+01	0.004441	test
SIN3A@00672	 7.730e+00	 5.099928	1.521e+01	0.004459	test
SIN3A@00420	 6.751e+00	 5.197168	1.496e+01	0.004469	test
SIN3A@11055	 7.099e+00	 5.070024	1.495e+01	0.004488	test
SIN3A@02415	 7.412e+00	 5.071741	1.481e+01	0.004730	test
SIN3A@04556	 1.049e+01	 6.298137	1.487e+01	0.004743	test
SIN3A@07887	 8.199e+00	 5.849612	1.474e+01	0.004854	test
SIN3A@03159	 7.601e+00	 4.863064	1.442e+01	0.004981	test
SIN3A@07991	 6.160e+00	 6.205062	1.445e+01	0.005125	test
SIN3A@07998	 6.034e+00	 7.797449	1.444e+01	0.005134	test
SIN3A@11530	 5.875e+00	 6.290631	1.444e+01	0.005138	test
SIN3A@12654	-5.801e+00	 5.355235	1.418e+01	0.005176	test
SIN3A@12953	 8.877e+00	 5.581675	1.426e+01	0.005321	test
SIN3A@01087	 6.691e+00	 4.978998	1.400e+01	0.005369	test
SIN3A@12810	 7.464e+00	 5.033044	1.415e+01	0.005427	test
SIN3A@06276	 7.443e+00	 5.185267	1.406e+01	0.005523	test
SIN3A@08433	 9.575e+00	 5.036805	1.394e+01	0.005654	test
SIN3A@11767	-9.907e+00	 4.136317	1.373e+01	0.005660	test
SIN3A@07942	 7.851e+00	 5.668166	1.385e+01	0.005757	test
SIN3A@07890	 1.100e+01	 5.308803	1.360e+01	0.006042	test
SIN3A@02323	 6.045e+00	 6.092447	1.356e+01	0.006084	test
SIN3A@07561	 8.514e+00	 6.073235	1.341e+01	0.006272	test
SIN3A@03402	 5.529e+00	 5.745108	1.333e+01	0.006289	test
SIN3A@01679	 5.728e+00	 6.148090	1.314e+01	0.006623	test
SIN3A@13194	 6.799e+00	 6.251065	1.311e+01	0.006655	test
SIN3A@08054	 4.295e+00	 7.233772	1.306e+01	0.006724	test
SIN3A@07994	 5.414e+00	 5.632625	1.276e+01	0.006965	test
SIN3A@00044	 6.897e+00	 5.125552	1.282e+01	0.007070	test
SIN3A@07997	 5.653e+00	 6.597218	1.279e+01	0.007105	test
SIN3A@01437	-4.917e+00	 5.866165	1.261e+01	0.007116	test
SIN3A@01908	-6.140e+00	 4.982278	1.249e+01	0.007289	test
SIN3A@04486	-3.997e+00	 6.674995	1.249e+01	0.007307	test
SIN3A@10719	 8.372e+00	 5.508070	1.261e+01	0.007378	test
SIN3A@14466	 5.048e+00	 8.531924	1.255e+01	0.007465	GFP
SIN3A@11418	 9.081e+00	 5.607883	1.236e+01	0.007761	test
SIN3A@10431	-4.223e+00	 6.214119	1.196e+01	0.008170	test
SIN3A@13316	-5.532e+00	 5.512869	1.204e+01	0.008222	test
SIN3A@08055	 5.218e+00	 5.688467	1.186e+01	0.008565	test
SIN3A@07852	 5.021e+00	 6.875379	1.178e+01	0.008795	test
SIN3A@01637	 4.761e+00	 6.421392	1.147e+01	0.009398	test
SIN3A@06795	 1.168e+01	 4.643202	1.241e+01	0.009506	test
