logFC	logCPM	F	PValue	status
SIN3A@11022	-9.346e+00	 3.824136	1.659e+01	0.0004429	test
SIN3A@07367	 8.588e+00	 6.183783	1.606e+01	0.0005225	test
SIN3A@08054	 4.536e+00	 7.789772	1.543e+01	0.0006384	test
SIN3A@06211	 5.549e+00	 7.515446	1.463e+01	0.0008254	test
SIN3A@07821	 3.336e+00	 9.875024	1.398e+01	0.0010253	test
SIN3A@09726	-8.164e+00	 3.955122	1.361e+01	0.0011617	test
SIN3A@07863	 7.946e+00	 5.812172	1.356e+01	0.0011811	test
SIN3A@11112	 8.977e+00	 5.658214	1.355e+01	0.0011860	test
SIN3A@08020	 5.693e+00	 6.757735	1.328e+01	0.0012963	test
SIN3A@07998	 5.378e+00	 7.537020	1.319e+01	0.0013376	test
SIN3A@08017	 1.152e+01	 5.008201	1.311e+01	0.0014464	test
SIN3A@07942	 7.849e+00	 6.141047	1.291e+01	0.0014745	test
SIN3A@04774	 7.904e+00	 5.502658	1.290e+01	0.0014770	test
SIN3A@05253	 8.521e+00	 5.664967	1.269e+01	0.0015895	test
SIN3A@07852	 4.932e+00	 7.023846	1.222e+01	0.0018743	test
SIN3A@01679	 5.788e+00	 6.302822	1.184e+01	0.0021481	test
SIN3A@05938	-1.026e+01	 2.809070	1.220e+01	0.0021905	test
SIN3A@08023	 8.741e+00	 5.503339	1.163e+01	0.0023147	test
SIN3A@03256	 9.199e+00	 6.334363	1.134e+01	0.0025739	test
SIN3A@08560	 1.080e+01	 4.296044	1.142e+01	0.0026070	test
SIN3A@07855	 8.893e+00	 5.902517	1.123e+01	0.0026712	test
SIN3A@01545	-1.042e+01	 2.959022	1.152e+01	0.0027599	test
SIN3A@07853	 4.478e+00	 7.940744	1.112e+01	0.0027877	test
SIN3A@02293	 9.702e+00	 5.136227	1.107e+01	0.0028334	test
SIN3A@04556	 9.524e+00	 5.714593	1.102e+01	0.0028928	test
SIN3A@01265	 1.077e+01	 4.268228	1.103e+01	0.0029948	test
SIN3A@14469	 3.580e+00	11.215889	1.083e+01	0.0030964	mCherry
SIN3A@01702	 1.132e+01	 4.813105	1.089e+01	0.0031528	test
SIN3A@08092	 1.112e+01	 4.617382	1.063e+01	0.0034625	test
SIN3A@04948	 8.394e+00	 5.783643	1.037e+01	0.0036767	test
SIN3A@07997	 5.125e+00	 6.476977	1.034e+01	0.0037202	test
SIN3A@01193	 7.852e+00	 5.156056	1.020e+01	0.0039158	test
SIN3A@07991	 5.626e+00	 6.102580	1.020e+01	0.0039181	test
SIN3A@08433	 9.181e+00	 4.623350	1.015e+01	0.0039963	test
SIN3A@05710	 8.207e+00	 4.976686	1.012e+01	0.0040448	test
SIN3A@07468	 7.475e+00	 4.902698	1.010e+01	0.0040742	test
SIN3A@08216	 6.974e+00	 5.323620	1.009e+01	0.0040906	test
SIN3A@07966	 4.418e+00	 6.542111	1.005e+01	0.0041551	test
SIN3A@11400	 8.832e+00	 4.973352	1.002e+01	0.0041940	test
SIN3A@11418	 8.025e+00	 5.035885	9.977e+00	0.0042674	test
SIN3A@02587	 7.049e+00	 5.030492	9.938e+00	0.0043317	test
SIN3A@12710	 1.052e+01	 4.021054	9.988e+00	0.0043982	test
SIN3A@11719	 6.488e+00	 5.571920	9.833e+00	0.0045078	test
SIN3A@01579	-6.658e+00	 3.335242	9.831e+00	0.0045120	test
SIN3A@08019	 4.501e+00	 6.675121	9.651e+00	0.0048348	test
SIN3A@04347	 1.115e+01	 4.644865	9.706e+00	0.0048925	test
SIN3A@08738	 8.091e+00	 4.820477	9.594e+00	0.0049431	test
SIN3A@07890	 9.381e+00	 4.747015	9.510e+00	0.0051071	test
