logFC	logCPM	F	PValue	status
MMR@02490	-1.07e+01	 3.4166	2.86e+01	3.35e-06	test
MMR@04052	-3.67e+00	 5.3473	2.10e+01	5.31e-05	test
MMR@06376	-1.02e+01	 2.9008	2.00e+01	5.81e-05	test
MMR@03268	-1.01e+01	 2.8612	1.93e+01	7.30e-05	test
MMR@06101	-3.52e+00	 5.3365	1.97e+01	8.12e-05	test
MMR@00048	-8.16e+00	 3.0361	1.87e+01	8.76e-05	test
MMR@06112	-1.01e+01	 2.8639	1.86e+01	9.63e-05	test
MMR@06108	-1.01e+01	 2.8014	1.84e+01	1.02e-04	test
MMR@07325	 2.89e+00	 5.3048	1.65e+01	2.01e-04	test
MMR@07978	-3.86e+00	 5.6391	1.72e+01	2.03e-04	test
MMR@06229	-3.64e+00	 5.4284	1.79e+01	2.11e-04	test
MMR@04283	-3.70e+00	 4.9861	1.71e+01	4.48e-04	test
MMR@03712	-4.95e+00	 3.9237	1.53e+01	5.10e-04	test
MMR@06795	-2.66e+00	 5.2193	1.40e+01	5.34e-04	test
MMR@06018	 2.61e+00	 5.1471	1.39e+01	5.53e-04	test
MMR@05558	-4.45e+00	 5.1195	1.91e+01	5.54e-04	test
MMR@07845	-3.75e+00	 5.7651	1.42e+01	6.09e-04	test
MMR@03313	-2.79e+00	 5.1955	1.38e+01	6.41e-04	test
MMR@00758	-2.68e+00	 4.9563	1.35e+01	6.55e-04	test
MMR@06032	-3.78e+00	 6.1209	1.34e+01	6.67e-04	test
MMR@00512	-2.79e+00	 4.8496	1.33e+01	7.22e-04	test
MMR@06003	 4.26e+00	 6.5113	1.29e+01	8.21e-04	test
MMR@07084	-2.91e+00	 5.5070	1.29e+01	9.00e-04	test
MMR@01231	 2.52e+00	 5.0722	1.26e+01	9.53e-04	test
MMR@04612	 4.94e+00	 7.3246	1.24e+01	1.01e-03	test
MMR@07835	-9.50e+00	 2.2486	1.24e+01	1.06e-03	test
MMR@05383	-2.59e+00	 5.3911	1.23e+01	1.09e-03	test
MMR@02499	-3.15e+00	 5.0822	1.37e+01	1.20e-03	test
MMR@00187	 2.75e+00	 4.7101	1.20e+01	1.21e-03	test
MMR@06346	-3.42e+00	 5.7611	1.24e+01	1.24e-03	test
MMR@04445	-9.41e+00	 2.1729	1.17e+01	1.41e-03	test
MMR@07630	 2.55e+00	 4.8193	1.16e+01	1.42e-03	test
MMR@05890	-3.06e+00	 5.4544	1.26e+01	1.46e-03	test
MMR@07933	-2.69e+00	 5.4509	1.17e+01	1.46e-03	test
MMR@03024	-9.38e+00	 2.1310	1.13e+01	1.64e-03	test
MMR@05068	-2.99e+00	 4.8520	1.22e+01	1.66e-03	test
MMR@04394	 2.58e+00	 4.7539	1.12e+01	1.68e-03	test
MMR@07794	-2.31e+00	 5.1626	1.08e+01	2.05e-03	test
MMR@06096	-2.61e+00	 5.1633	1.14e+01	2.08e-03	test
MMR@00634	-3.18e+00	 5.7281	1.11e+01	2.08e-03	test
MMR@05938	 4.47e+00	 7.3546	1.07e+01	2.15e-03	test
MMR@02752	 2.51e+00	 4.6432	1.06e+01	2.24e-03	test
MMR@01247	 2.31e+00	 5.2704	1.03e+01	2.51e-03	test
MMR@02670	-2.96e+00	 5.8981	1.03e+01	2.51e-03	test
MMR@04885	 2.23e+00	 5.2869	1.03e+01	2.53e-03	test
MMR@01846	-2.25e+00	 5.1991	1.02e+01	2.63e-03	test
MMR@05914	 4.67e+00	 7.5488	1.02e+01	2.63e-03	test
MMR@00671	 3.21e+00	 4.0428	1.02e+01	2.63e-03	test
MMR@00202	 2.16e+00	 5.2124	1.01e+01	2.69e-03	test
MMR@04733	 4.44e+00	 7.2965	1.01e+01	2.74e-03	test
MMR@01410	-2.74e+00	 5.7144	1.00e+01	2.82e-03	test
MMR@08097	-2.60e+00	 5.5719	1.00e+01	2.91e-03	test
MMR@00443	-3.42e+00	 3.8496	9.93e+00	2.94e-03	test
MMR@04250	 2.25e+00	 4.8550	9.93e+00	2.95e-03	test
MMR@07071	-2.22e+00	 5.0755	9.87e+00	3.02e-03	test
MMR@05878	 2.24e+00	 5.3750	9.84e+00	3.07e-03	test
MMR@08229	-2.62e+00	 4.6910	9.70e+00	3.69e-03	test
MMR@07456	-2.29e+00	 5.2596	9.53e+00	3.81e-03	test
MMR@03600	-3.30e+00	 5.8755	9.88e+00	3.83e-03	test
MMR@08033	 2.35e+00	 4.6226	9.32e+00	3.87e-03	test
MMR@06307	-3.21e+00	 6.1837	9.31e+00	3.89e-03	test
MMR@06258	-2.20e+00	 5.0187	9.26e+00	4.03e-03	test
MMR@05719	 2.20e+00	 4.8682	9.21e+00	4.06e-03	test
MMR@05722	 3.64e+00	 6.9304	9.19e+00	4.09e-03	test
MMR@02919	-3.47e+00	 6.2070	9.42e+00	4.14e-03	test
MMR@03915	-2.44e+00	 5.5596	9.17e+00	4.18e-03	test
MMR@07123	-2.33e+00	 4.6232	9.09e+00	4.29e-03	test
MMR@05637	 4.26e+00	 7.4875	9.08e+00	4.31e-03	test
MMR@04980	-2.58e+00	 5.4348	9.63e+00	4.39e-03	test
MMR@02006	 2.49e+00	 5.6363	9.03e+00	4.41e-03	test
MMR@35558	-3.26e+00	 6.0356	9.24e+00	4.47e-03	negative
MMR@06442	 2.01e+00	 5.0958	8.95e+00	4.56e-03	test
MMR@35699	 2.09e+00	 4.9173	8.94e+00	4.58e-03	negative
MMR@03986	-2.57e+00	 5.4161	9.51e+00	4.68e-03	test
MMR@03100	-2.16e+00	 5.0511	8.90e+00	4.78e-03	test
MMR@04660	 3.23e+00	 6.4191	8.85e+00	4.79e-03	test
MMR@06515	-2.48e+00	 5.6454	8.80e+00	4.88e-03	test
MMR@06005	 3.37e+00	 6.7266	8.75e+00	5.00e-03	test
MMR@01974	-2.40e+00	 4.6464	8.71e+00	5.19e-03	test
MMR@01903	 2.49e+00	 5.7388	8.60e+00	5.36e-03	test
MMR@07826	-2.12e+00	 5.3300	8.57e+00	5.47e-03	test
MMR@06462	-2.38e+00	 5.6042	8.55e+00	5.47e-03	test
MMR@34038	-2.78e+00	 5.8066	8.62e+00	5.56e-03	test
MMR@03303	-2.30e+00	 4.5061	8.41e+00	5.83e-03	test
MMR@07406	 1.98e+00	 5.0212	8.41e+00	5.83e-03	test
MMR@01332	-2.33e+00	 4.4678	8.39e+00	5.90e-03	test
MMR@05937	 3.15e+00	 6.4881	8.37e+00	5.94e-03	test
MMR@33910	-3.21e+00	 6.6770	8.37e+00	5.95e-03	test
MMR@07174	-2.22e+00	 5.3984	8.46e+00	6.13e-03	test
MMR@02315	-2.29e+00	 5.3502	8.67e+00	6.15e-03	test
MMR@07674	 2.04e+00	 5.3745	8.24e+00	6.32e-03	test
MMR@05939	 4.22e+00	 7.6330	8.08e+00	6.81e-03	test
MMR@04597	 3.80e+00	 7.3682	8.02e+00	6.99e-03	test
MMR@01250	 1.93e+00	 5.2091	7.97e+00	7.14e-03	test
MMR@01736	-2.07e+00	 5.4133	7.97e+00	7.15e-03	test
MMR@07662	-2.64e+00	 5.3762	8.94e+00	7.25e-03	test
MMR@04026	 2.03e+00	 5.4362	7.94e+00	7.26e-03	test
MMR@04554	 2.38e+00	 4.6105	8.07e+00	7.31e-03	test
MMR@04774	 4.14e+00	 7.6128	7.91e+00	7.36e-03	test
MMR@06916	-2.35e+00	 5.5369	8.09e+00	7.42e-03	test
MMR@00383	-3.23e+00	 6.2880	8.06e+00	7.47e-03	test
MMR@01049	-2.17e+00	 5.5444	7.85e+00	7.55e-03	test
MMR@04881	 1.91e+00	 5.0486	7.82e+00	7.69e-03	test
MMR@35445	-2.50e+00	 5.7723	7.82e+00	7.69e-03	negative
MMR@08053	 2.39e+00	 4.3164	7.79e+00	7.77e-03	test
MMR@00570	-2.28e+00	 5.6297	7.69e+00	8.14e-03	test
MMR@00536	 2.64e+00	 4.0261	7.68e+00	8.20e-03	test
MMR@02403	-2.73e+00	 5.9741	7.66e+00	8.33e-03	test
MMR@07180	 1.91e+00	 4.9248	7.63e+00	8.38e-03	test
MMR@34558	-3.04e+00	 6.5313	7.63e+00	8.39e-03	test
MMR@03775	-2.45e+00	 5.3555	8.36e+00	8.53e-03	test
MMR@08196	 2.28e+00	 4.3875	7.59e+00	8.56e-03	test
MMR@00114	-2.20e+00	 5.3517	7.92e+00	8.67e-03	test
MMR@00238	-2.43e+00	 4.2046	7.56e+00	8.67e-03	test
MMR@02951	-1.96e+00	 5.3450	7.53e+00	8.78e-03	test
MMR@05526	 2.48e+00	 4.1765	7.52e+00	8.84e-03	test
MMR@04608	 4.29e+00	 7.7470	7.51e+00	8.90e-03	test
MMR@05899	 3.75e+00	 7.3883	7.49e+00	8.98e-03	test
MMR@01081	-3.08e+00	 6.2039	7.65e+00	9.06e-03	test
MMR@07058	-2.40e+00	 5.6692	7.56e+00	9.08e-03	test
MMR@05906	 3.94e+00	 7.5756	7.44e+00	9.18e-03	test
MMR@00680	 2.57e+00	 4.0875	7.43e+00	9.20e-03	test
MMR@00262	-2.26e+00	 5.6601	7.41e+00	9.33e-03	test
MMR@05233	-2.50e+00	 5.7121	7.54e+00	9.46e-03	test
MMR@07853	 2.10e+00	 5.6111	7.35e+00	9.59e-03	test
MMR@05910	 3.33e+00	 7.1159	7.34e+00	9.60e-03	test
MMR@07091	 2.08e+00	 4.7374	7.34e+00	9.63e-03	test
MMR@03890	-2.59e+00	 6.0490	7.32e+00	9.70e-03	test
MMR@05653	 3.66e+00	 7.4341	7.32e+00	9.73e-03	test
MMR@00284	-3.17e+00	 6.7536	7.30e+00	9.81e-03	test
MMR@00873	 1.85e+00	 5.1112	7.28e+00	9.89e-03	test
MMR@03526	-2.32e+00	 5.7554	7.26e+00	9.97e-03	test
MMR@01987	-2.06e+00	 5.5203	7.21e+00	1.02e-02	test
MMR@05560	 2.39e+00	 5.8662	7.21e+00	1.02e-02	test
MMR@03352	 2.05e+00	 4.6775	7.19e+00	1.03e-02	test
MMR@03602	-2.09e+00	 4.6397	7.18e+00	1.04e-02	test
MMR@00160	-2.15e+00	 4.4555	7.16e+00	1.05e-02	test
MMR@04617	 1.93e+00	 5.4634	7.14e+00	1.06e-02	test
MMR@03276	 3.27e+00	 3.6013	7.15e+00	1.06e-02	test
MMR@01245	-2.33e+00	 5.5558	7.39e+00	1.08e-02	test
MMR@07005	-2.13e+00	 4.7513	7.17e+00	1.09e-02	test
MMR@03229	 2.79e+00	 3.8251	7.08e+00	1.09e-02	test
MMR@35547	-1.92e+00	 5.0039	7.11e+00	1.09e-02	negative
MMR@05908	 1.81e+00	 5.0969	7.07e+00	1.09e-02	test
MMR@34309	-3.36e+00	 6.9701	7.12e+00	1.10e-02	test
MMR@04014	 1.98e+00	 4.6991	7.05e+00	1.10e-02	test
MMR@04669	 3.01e+00	 6.6406	7.05e+00	1.11e-02	test
MMR@01890	 2.08e+00	 4.6383	7.05e+00	1.11e-02	test
MMR@05310	 1.96e+00	 5.4680	7.03e+00	1.11e-02	test
MMR@02996	 1.79e+00	 5.2278	7.03e+00	1.12e-02	test
MMR@05059	-1.83e+00	 5.1043	7.01e+00	1.12e-02	test
MMR@35839	 1.81e+00	 4.9589	7.01e+00	1.13e-02	negative
MMR@08078	-2.16e+00	 5.7124	7.00e+00	1.13e-02	test
MMR@34317	 1.83e+00	 5.2296	6.99e+00	1.13e-02	test
MMR@04751	 3.18e+00	 7.0561	6.99e+00	1.14e-02	test
MMR@06502	 1.82e+00	 4.9434	6.99e+00	1.14e-02	test
MMR@04333	 1.82e+00	 5.1465	6.97e+00	1.15e-02	test
MMR@04738	 2.99e+00	 6.7825	6.95e+00	1.16e-02	test
MMR@01888	-1.79e+00	 5.2550	6.93e+00	1.17e-02	test
MMR@02819	-2.12e+00	 5.3016	7.29e+00	1.18e-02	test
MMR@05991	 3.15e+00	 6.9045	6.91e+00	1.18e-02	test
MMR@04341	-2.00e+00	 5.5081	6.89e+00	1.19e-02	test
MMR@01721	-2.11e+00	 5.5305	6.95e+00	1.20e-02	test
MMR@06707	 1.81e+00	 5.2891	6.85e+00	1.22e-02	test
MMR@04665	 1.86e+00	 5.4504	6.81e+00	1.24e-02	test
MMR@03151	 1.84e+00	 5.3716	6.80e+00	1.25e-02	test
MMR@04731	 2.04e+00	 5.6030	6.80e+00	1.25e-02	test
MMR@07254	 1.97e+00	 5.5560	6.80e+00	1.25e-02	test
MMR@34021	-2.50e+00	 5.8689	6.85e+00	1.25e-02	test
MMR@01561	 2.28e+00	 4.2990	6.79e+00	1.25e-02	test
MMR@03286	 1.74e+00	 5.1084	6.79e+00	1.25e-02	test
MMR@05663	 2.07e+00	 5.6676	6.77e+00	1.27e-02	test
MMR@05918	 3.22e+00	 7.2006	6.76e+00	1.27e-02	test
MMR@05861	 3.41e+00	 7.3451	6.76e+00	1.27e-02	test
MMR@06073	 3.33e+00	 7.2965	6.76e+00	1.27e-02	test
MMR@07625	-2.06e+00	 4.4728	6.73e+00	1.29e-02	test
MMR@07340	-2.05e+00	 5.3888	6.96e+00	1.29e-02	test
MMR@06150	-2.02e+00	 5.5695	6.72e+00	1.29e-02	test
MMR@04586	-3.08e+00	 5.2285	8.58e+00	1.29e-02	test
MMR@06061	-2.43e+00	 5.9046	6.71e+00	1.30e-02	test
MMR@05701	 3.04e+00	 6.9771	6.69e+00	1.31e-02	test
MMR@02690	 1.75e+00	 5.0964	6.69e+00	1.31e-02	test
MMR@06227	-2.02e+00	 4.9116	6.88e+00	1.32e-02	test
MMR@08275	-2.12e+00	 4.8611	6.96e+00	1.33e-02	test
MMR@07683	-2.63e+00	 5.3189	7.83e+00	1.33e-02	test
MMR@06013	 3.52e+00	 7.5155	6.63e+00	1.35e-02	test
MMR@01398	-2.83e+00	 6.4511	6.63e+00	1.35e-02	test
MMR@05875	 1.81e+00	 5.4220	6.58e+00	1.38e-02	test
MMR@04137	 1.99e+00	 4.8897	6.70e+00	1.40e-02	test
MMR@02766	 1.80e+00	 5.3773	6.55e+00	1.40e-02	test
MMR@01132	 2.28e+00	 4.8529	7.07e+00	1.40e-02	test
MMR@00731	-1.95e+00	 5.5289	6.55e+00	1.41e-02	test
MMR@06436	-2.79e+00	 6.5407	6.54e+00	1.41e-02	test
MMR@01873	-2.12e+00	 5.4053	6.86e+00	1.42e-02	test
MMR@06023	 3.79e+00	 7.6666	6.47e+00	1.46e-02	test
