logFC	logCPM	F	PValue	status
>eGFP-1	 6.408e+00	 9.8300	1.175e+02	4.678e-07	GFP
>eGFP-2	 6.434e+00	 9.2910	1.141e+02	5.392e-07	GFP
>eGFP-3	 6.525e+00	10.5256	1.657e+02	8.555e-08	GFP
>eGFP-4	 6.587e+00	 9.9673	1.905e+02	4.253e-08	GFP
>eGFP-5	 6.593e+00	11.4798	1.503e+02	1.392e-07	GFP
>eGFP-6	 6.534e+00	11.1741	1.419e+02	1.852e-07	GFP
>NEG_30523114	 2.994e-01	 2.6214	1.702e-02	9.103e-01	Neg
>NEG_30523214	 1.774e-01	 5.5681	1.457e-02	9.185e-01	Neg
>NEG_30526846	 4.340e-01	 4.4457	5.651e-02	8.531e-01	Neg
>NEG_30526901	 9.417e-02	 2.8252	2.294e-03	9.712e-01	Neg
>NEG_30529487	-3.236e-01	 1.5742	3.171e-02	9.017e-01	Neg
>NEG_30529554	 4.963e-01	 3.0915	6.496e-02	8.518e-01	Neg
>NEG_30539505	 7.583e-01	 3.9832	1.337e-01	7.648e-01	Neg
>NEG_30540923	-6.036e-01	 3.3614	1.063e-01	8.104e-01	Neg
>NEG_30558012	 4.943e-01	 4.6949	8.808e-02	8.246e-01	Neg
>NEG_30559534	-5.702e+00	 1.4631	8.091e+00	3.149e-02	Neg
>NEG_30565109	-1.650e-01	 3.9954	8.735e-03	9.457e-01	Neg
>NEG_30565125	-8.923e-02	 6.6237	8.295e-03	9.382e-01	Neg
>NEG_30565220	 0.000e+00	 0.2152	0.000e+00	1.000e+00	Neg
>NEG_30565243	-6.804e-01	 2.6287	1.001e-01	7.934e-01	Neg
>NEG_30565679	-5.154e-02	 2.5699	7.420e-04	9.845e-01	Neg
>NEG_30566005	-4.561e-01	 4.1133	6.555e-02	8.472e-01	Neg
>NEG_30569693	 4.912e-01	 0.9563	3.891e-02	8.605e-01	Neg
>NEG_30590996	-3.671e-01	 2.2035	2.004e-02	8.901e-01	Neg
>NEG_30591278	-1.091e-01	 4.3592	3.954e-03	9.624e-01	Neg
>NEG_30591285	-5.841e+00	 1.5433	8.185e+00	2.865e-02	Neg
>NEG_30591313	 0.000e+00	 0.2152	0.000e+00	1.000e+00	Neg
>NEG_30591348	-7.021e-01	 2.1047	9.259e-02	7.868e-01	Neg
