chrm 	start 	end 	name
chr6	30132134	30135081	chr6:30132134-30135081
chr6	30132154	30136329	chr6:30132154-30136329
chr6	30132159	30139582	chr6:30132159-30139582
chr6	30132333	30135422	chr6:30132333-30135422
chr6	30132384	30136433	chr6:30132384-30136433
chr6	30132465	30135467	chr6:30132465-30135467
chr6	30132704	30135599	chr6:30132704-30135599
chr6	30132705	30136787	chr6:30132705-30136787
chr6	30134702	30135634	chr6:30134702-30135634
chr6	30134819	30135905	chr6:30134819-30135905
chr6	30134952	30135926	chr6:30134952-30135926
chr6	30134969	30137612	chr6:30134969-30137612
chr6	30135033	30140722	chr6:30135033-30140722
chr6	30135062	30136074	chr6:30135062-30136074
chr6	30135178	30136293	chr6:30135178-30136293
chr6	30135413	30136351	chr6:30135413-30136351
chr6	30135509	30138329	chr6:30135509-30138329
chr6	30135523	30136529	chr6:30135523-30136529
chr6	30135633	30136792	chr6:30135633-30136792
chr6	30135656	30141180	chr6:30135656-30141180
chr6	30135703	30138378	chr6:30135703-30138378
chr6	30135795	30137041	chr6:30135795-30137041
chr6	30135905	30137128	chr6:30135905-30137128
chr6	30136057	30137516	chr6:30136057-30137516
chr6	30136075	30138690	chr6:30136075-30138690
chr6	30136244	30137563	chr6:30136244-30137563
chr6	30136350	30137651	chr6:30136350-30137651
chr6	30136419	30139472	chr6:30136419-30139472
chr6	30136484	30137827	chr6:30136484-30137827
chr6	30136766	30137972	chr6:30136766-30137972
chr6	30136786	30140127	chr6:30136786-30140127
chr6	30136802	30143132	chr6:30136802-30143132
chr6	30136966	30138177	chr6:30136966-30138177
chr6	30137059	30138273	chr6:30137059-30138273
chr6	30137421	30138324	chr6:30137421-30138324
chr6	30137523	30138479	chr6:30137523-30138479
chr6	30137598	30140406	chr6:30137598-30140406
chr6	30137646	30149159	chr6:30137646-30149159
chr6	30137650	30138629	chr6:30137650-30138629
chr6	30137781	30138832	chr6:30137781-30138832
chr6	30137943	30139313	chr6:30137943-30139313
chr6	30137987	30140717	chr6:30137987-30140717
chr6	30138042	30139449	chr6:30138042-30139449
chr6	30138212	30139540	chr6:30138212-30139540
chr6	30138309	30139604	chr6:30138309-30139604
chr6	30138348	30140854	chr6:30138348-30140854
chr6	30138427	30140059	chr6:30138427-30140059
chr6	30138511	30152045	chr6:30138511-30152045
chr6	30138577	30140110	chr6:30138577-30140110
chr6	30138689	30141160	chr6:30138689-30141160
chr6	30138695	30140350	chr6:30138695-30140350
chr6	30139012	30140397	chr6:30139012-30140397
chr6	30139397	30140566	chr6:30139397-30140566
chr6	30139464	30142192	chr6:30139464-30142192
chr6	30139500	30140703	chr6:30139500-30140703
chr6	30139581	30152901	chr6:30139581-30152901
chr6	30139618	30140848	chr6:30139618-30140848
chr6	30139683	30143079	chr6:30139683-30143079
chr6	30139914	30141138	chr6:30139914-30141138
chr6	30140117	30142021	chr6:30140117-30142021
chr6	30140259	30142025	chr6:30140259-30142025
chr6	30140369	30142185	chr6:30140369-30142185
chr6	30140386	30143353	chr6:30140386-30143353
chr6	30140411	30153470	chr6:30140411-30153470
chr6	30140563	30142515	chr6:30140563-30142515
chr6	30140587	30147936	chr6:30140587-30147936
chr6	30140716	30142534	chr6:30140716-30142534
chr6	30140802	30149147	chr6:30140802-30149147
chr6	30140858	30142932	chr6:30140858-30142932
chr6	30140929	30154030	chr6:30140929-30154030
chr6	30141145	30143077	chr6:30141145-30143077
chr6	30141152	30150026	chr6:30141152-30150026
chr6	30141918	30143180	chr6:30141918-30143180
chr6	30142024	30143334	chr6:30142024-30143334
chr6	30142171	30143446	chr6:30142171-30143446
chr6	30142186	30150084	chr6:30142186-30150084
chr6	30142296	30143548	chr6:30142296-30143548
chr6	30142532	30145510	chr6:30142532-30145510
chr6	30142874	30147711	chr6:30142874-30147711
chr6	30143053	30147850	chr6:30143053-30147850
chr6	30143078	30150594	chr6:30143078-30150594
chr6	30143121	30156507	chr6:30143121-30156507
chr6	30143162	30149113	chr6:30143162-30149113
chr6	30143306	30149292	chr6:30143306-30149292
chr6	30143358	30152044	chr6:30143358-30152044
chr6	30143416	30149556	chr6:30143416-30149556
chr6	30143547	30149559	chr6:30143547-30149559
chr6	30145425	30149823	chr6:30145425-30149823
chr6	30146004	30149995	chr6:30146004-30149995
chr6	30147841	30150041	chr6:30147841-30150041
chr6	30147864	30152448	chr6:30147864-30152448
chr6	30147940	30157218	chr6:30147940-30157218
chr6	30149100	30150150	chr6:30149100-30150150
chr6	30149137	30152520	chr6:30149137-30152520
chr6	30149215	30150561	chr6:30149215-30150561
chr6	30149436	30150853	chr6:30149436-30150853
chr6	30149558	30151165	chr6:30149558-30151165
chr6	30149667	30152747	chr6:30149667-30152747
chr6	30149752	30151396	chr6:30149752-30151396
chr6	30149927	30151954	chr6:30149927-30151954
chr6	30150039	30152032	chr6:30150039-30152032
chr6	30150048	30152955	chr6:30150048-30152955
chr6	30150124	30157670	chr6:30150124-30157670
chr6	30150132	30152132	chr6:30150132-30152132
chr6	30150570	30152331	chr6:30150570-30152331
chr6	30150593	30153250	chr6:30150593-30153250
chr6	30150787	30152447	chr6:30150787-30152447
chr6	30151084	30152665	chr6:30151084-30152665
chr6	30151349	30152786	chr6:30151349-30152786
chr6	30151925	30152900	chr6:30151925-30152900
chr6	30151969	30153460	chr6:30151969-30153460
chr6	30152011	30153015	chr6:30152011-30153015
chr6	30152143	30153177	chr6:30152143-30153177
chr6	30152223	30153793	chr6:30152223-30153793
chr6	30152327	30153345	chr6:30152327-30153345
chr6	30152435	30153435	chr6:30152435-30153435
chr6	30152503	30154020	chr6:30152503-30154020
chr6	30152664	30153536	chr6:30152664-30153536
chr6	30152743	30154255	chr6:30152743-30154255
chr6	30152760	30153684	chr6:30152760-30153684
chr6	30152837	30158199	chr6:30152837-30158199
chr6	30152899	30153754	chr6:30152899-30153754
chr6	30152954	30154973	chr6:30152954-30154973
chr6	30153011	30153960	chr6:30153011-30153960
chr6	30153174	30154048	chr6:30153174-30154048
chr6	30153201	30156170	chr6:30153201-30156170
chr6	30153286	30154169	chr6:30153286-30154169
chr6	30153382	30158963	chr6:30153382-30158963
chr6	30153407	30154672	chr6:30153407-30154672
chr6	30153428	30156390	chr6:30153428-30156390
chr6	30153514	30154916	chr6:30153514-30154916
chr6	30153626	30155111	chr6:30153626-30155111
chr6	30153760	30156168	chr6:30153760-30156168
chr6	30153792	30156497	chr6:30153792-30156497
chr6	30153935	30156403	chr6:30153935-30156403
chr6	30154009	30156698	chr6:30154009-30156698
chr6	30154021	30159558	chr6:30154021-30159558
chr6	30154042	30156467	chr6:30154042-30156467
chr6	30154168	30156581	chr6:30154168-30156581
chr6	30154251	30157107	chr6:30154251-30157107
chr6	30154337	30156693	chr6:30154337-30156693
chr6	30154918	30157210	chr6:30154918-30157210
chr6	30154922	30156843	chr6:30154922-30156843
chr6	30155119	30157092	chr6:30155119-30157092
chr6	30155202	30157507	chr6:30155202-30157507
chr6	30156143	30157171	chr6:30156143-30157171
chr6	30156205	30157735	chr6:30156205-30157735
chr6	30156331	30157289	chr6:30156331-30157289
chr6	30156403	30163454	chr6:30156403-30163454
chr6	30156457	30158103	chr6:30156457-30158103
chr6	30156466	30157500	chr6:30156466-30157500
chr6	30156575	30157604	chr6:30156575-30157604
chr6	30156671	30158331	chr6:30156671-30158331
chr6	30156683	30157732	chr6:30156683-30157732
chr6	30156855	30157957	chr6:30156855-30157957
chr6	30156935	30158538	chr6:30156935-30158538
chr6	30157036	30158046	chr6:30157036-30158046
chr6	30157113	30163477	chr6:30157113-30163477
chr6	30157143	30158172	chr6:30157143-30158172
chr6	30157194	30158819	chr6:30157194-30158819
chr6	30157301	30158328	chr6:30157301-30158328
chr6	30157475	30158519	chr6:30157475-30158519
chr6	30157501	30159513	chr6:30157501-30159513
chr6	30157601	30158606	chr6:30157601-30158606
chr6	30157651	30164334	chr6:30157651-30164334
chr6	30157722	30158732	chr6:30157722-30158732
chr6	30157734	30159728	chr6:30157734-30159728
chr6	30157894	30158960	chr6:30157894-30158960
chr6	30158044	30159306	chr6:30158044-30159306
chr6	30158061	30160634	chr6:30158061-30160634
chr6	30158150	30159506	chr6:30158150-30159506
chr6	30158200	30164780	chr6:30158200-30164780
chr6	30158329	30162943	chr6:30158329-30162943
chr6	30158340	30159511	chr6:30158340-30159511
chr6	30158516	30159711	chr6:30158516-30159711
chr6	30158551	30163321	chr6:30158551-30163321
chr6	30158605	30160079	chr6:30158605-30160079
chr6	30158742	30160224	chr6:30158742-30160224
chr6	30158821	30163520	chr6:30158821-30163520
chr6	30158923	30160576	chr6:30158923-30160576
chr6	30158961	30165714	chr6:30158961-30165714
chr6	30159156	30160583	chr6:30159156-30160583
chr6	30159307	30162851	chr6:30159307-30162851
chr6	30159507	30163086	chr6:30159507-30163086
chr6	30159512	30163889	chr6:30159512-30163889
chr6	30159515	30166915	chr6:30159515-30166915
chr6	30159651	30163157	chr6:30159651-30163157
chr6	30159726	30164210	chr6:30159726-30164210
chr6	30160031	30163297	chr6:30160031-30163297
chr6	30160128	30164571	chr6:30160128-30164571
chr6	30160225	30163438	chr6:30160225-30163438
chr6	30160459	30163530	chr6:30160459-30163530
chr6	30160582	30163783	chr6:30160582-30163783
chr6	30162845	30163849	chr6:30162845-30163849
chr6	30162944	30168206	chr6:30162944-30168206
chr6	30162947	30163986	chr6:30162947-30163986
chr6	30162952	30164767	chr6:30162952-30164767
chr6	30163087	30164208	chr6:30163087-30164208
chr6	30163263	30164333	chr6:30163263-30164333
chr6	30163301	30165199	chr6:30163301-30165199
chr6	30163396	30164504	chr6:30163396-30164504
chr6	30163449	30168234	chr6:30163449-30168234
chr6	30163516	30164637	chr6:30163516-30164637
chr6	30163531	30165707	chr6:30163531-30165707
chr6	30163698	30164735	chr6:30163698-30164735
chr6	30163818	30164991	chr6:30163818-30164991
chr6	30163856	30166271	chr6:30163856-30166271
chr6	30163926	30165121	chr6:30163926-30165121
chr6	30164161	30165198	chr6:30164161-30165198
chr6	30164209	30166288	chr6:30164209-30166288
chr6	30164235	30169962	chr6:30164235-30169962
chr6	30164328	30165671	chr6:30164328-30165671
chr6	30164481	30165834	chr6:30164481-30165834
chr6	30164564	30166561	chr6:30164564-30166561
chr6	30164618	30166026	chr6:30164618-30166026
chr6	30164734	30166279	chr6:30164734-30166279
chr6	30164736	30172429	chr6:30164736-30172429
chr6	30164756	30166910	chr6:30164756-30166910
