logFC	logCPM	LR	PValue	status
>eGFP-1	  5.616956	 8.6248	4.917e+00	0.026599	GFP
>eGFP-2	  5.206700	 7.8483	4.386e+00	0.036231	GFP
>eGFP-3	  5.695707	 9.2468	5.023e+00	0.025013	GFP
>eGFP-4	  5.914580	 8.9886	5.303e+00	0.021293	GFP
>eGFP-5	  5.764305	10.3111	5.117e+00	0.023696	GFP
>eGFP-6	  5.303144	 9.7551	4.524e+00	0.033431	GFP
>NEG_30523114	  0.886559	 2.5354	1.441e-01	0.704283	Neg
>NEG_30523214	 -0.985380	 5.0541	2.085e-01	0.647978	Neg
>NEG_30526846	 -2.583883	 3.6825	1.069e+00	0.301136	Neg
>NEG_30526901	 -0.406821	 2.3298	2.663e-02	0.870363	Neg
>NEG_30529487	 -4.258260	 1.3033	7.374e-01	0.390505	Neg
>NEG_30529554	  0.987339	 3.3404	1.977e-01	0.656560	Neg
>NEG_30539505	 -0.262864	 3.5166	1.387e-02	0.906235	Neg
>NEG_30540923	 -2.191766	 3.3961	7.761e-01	0.378328	Neg
>NEG_30558012	  0.342849	 4.8168	2.598e-02	0.871937	Neg
>NEG_30559534	 -5.220064	 1.7761	1.225e+00	0.268312	Neg
>NEG_30565109	 -0.615175	 4.0788	7.841e-02	0.779460	Neg
>NEG_30565125	 -1.156633	 6.1284	2.940e-01	0.587649	Neg
>NEG_30565220	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30565243	 -6.718160	 2.7516	2.348e+00	0.125462	Neg
>NEG_30565679	  0.201084	 2.8035	7.569e-03	0.930672	Neg
>NEG_30566005	  0.011571	 4.4851	2.911e-05	0.995695	Neg
>NEG_30569693	  2.119559	 2.6748	8.253e-01	0.363631	Neg
>NEG_30590996	  2.080100	 3.9628	8.761e-01	0.349280	Neg
>NEG_30591278	 -0.209815	 4.3905	9.474e-03	0.922463	Neg
>NEG_30591285	 -6.108778	 2.3229	1.838e+00	0.175228	Neg
>NEG_30591313	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30591348	 -6.010735	 2.2578	1.762e+00	0.184336	Neg
>NEG_30591413	 -5.220064	 1.7761	1.225e+00	0.268312	Neg
>NEG_30591899	 -1.330483	 3.6411	3.316e-01	0.564710	Neg
>NEG_30591931	  0.167630	 7.1071	6.464e-03	0.935920	Neg
>NEG_30591940	  0.309538	 2.0223	1.508e-02	0.902267	Neg
>NEG_30592288	 -6.588220	 2.6569	2.233e+00	0.135086	Neg
>NEG_30592346	 -3.449521	 4.3694	1.848e+00	0.174022	Neg
>NEG_30592384	  0.636444	 5.3472	9.062e-02	0.763390	Neg
>NEG_30592393	 -0.855085	 4.9711	1.575e-01	0.691436	Neg
>NEG_30592431	 -1.336820	 4.5346	3.642e-01	0.546202	Neg
>NEG_30608194	  0.590655	 6.4311	7.940e-02	0.778108	Neg
>NEG_30608263	  1.439199	 4.6767	4.447e-01	0.504885	Neg
>NEG_30608278	  0.000000	 0.5039	0.000e+00	1.000000	Neg
>NEG_30608292	  0.686862	 5.4126	1.056e-01	0.745217	Neg
>NEG_30608523	  2.282038	 4.9748	1.072e+00	0.300473	Neg
>NEG_30617382	 -6.010735	 2.2578	1.762e+00	0.184336	Neg
>NEG_30617562	  1.298908	 2.8800	3.255e-01	0.568345	Neg
>NEG_30617616	 -0.896113	 3.8752	1.605e-01	0.688693	Neg
>NEG_30617641	 -0.450004	 3.9850	4.203e-02	0.837572	Neg
>NEG_30617663	 -0.676289	 4.1146	9.469e-02	0.758297	Neg
