Name	Score
chr6_31139800_31139850	6.468e-06
chr6_31139850_31139900	6.468e-06
chr6_31139900_31139950	6.468e-06
chr6_31139950_31140000	6.468e-06
chr6_31140000_31140050	6.468e-06
chr6_31139600_31139650	2.421e-05
chr6_31139650_31139700	2.421e-05
chr6_31139700_31139750	2.421e-05
chr6_31139750_31139800	2.421e-05
chr6_31140050_31140100	2.421e-05
chr6_31140100_31140150	2.421e-05
chr6_31138900_31138950	6.115e-05
chr6_31138950_31139000	6.115e-05
chr6_31139000_31139050	6.115e-05
chr6_31139200_31139250	6.115e-05
chr6_31133900_31133950	7.951e-05
chr6_31140150_31140200	8.947e-05
chr6_31140200_31140250	8.947e-05
chr6_31138600_31138650	1.921e-04
chr6_31138650_31138700	1.921e-04
chr6_31138700_31138750	1.921e-04
chr6_31138750_31138800	1.921e-04
chr6_31138800_31138850	1.921e-04
chr6_31138850_31138900	1.921e-04
chr6_31139050_31139100	1.921e-04
chr6_31139100_31139150	1.921e-04
chr6_31139150_31139200	1.921e-04
chr6_31139250_31139300	1.921e-04
chr6_31139300_31139350	1.921e-04
chr6_31139500_31139550	1.921e-04
chr6_31139550_31139600	1.921e-04
chr6_31137950_31138000	2.431e-04
chr6_31138000_31138050	3.130e-04
chr6_31138050_31138100	3.130e-04
chr6_31138100_31138150	3.130e-04
chr6_31138150_31138200	3.130e-04
chr6_31138200_31138250	3.130e-04
chr6_31138250_31138300	3.130e-04
chr6_31138300_31138350	3.130e-04
chr6_31138350_31138400	3.130e-04
chr6_31140250_31140300	3.256e-04
chr6_31140300_31140350	3.256e-04
chr6_31137350_31137400	4.938e-04
chr6_31137400_31137450	4.938e-04
chr6_31137900_31137950	4.938e-04
chr6_31138400_31138450	4.938e-04
chr6_31139350_31139400	5.122e-04
chr6_31139400_31139450	5.122e-04
chr6_31139450_31139500	5.122e-04
chr6_31134900_31134950	6.707e-04
chr6_31134950_31135000	6.707e-04
chr6_31135000_31135050	6.707e-04
chr6_31135050_31135100	6.707e-04
chr6_31135100_31135150	6.707e-04
chr6_31135150_31135200	6.707e-04
chr6_31135200_31135250	6.707e-04
chr6_31135250_31135300	6.707e-04
chr6_31135300_31135350	6.707e-04
chr6_31135350_31135400	6.707e-04
chr6_31135400_31135450	6.707e-04
chr6_31135450_31135500	6.707e-04
chr6_31135500_31135550	6.707e-04
chr6_31135550_31135600	6.707e-04
chr6_31137200_31137250	7.054e-04
chr6_31137250_31137300	7.054e-04
chr6_31137150_31137200	9.676e-04
chr6_31137300_31137350	9.973e-04
chr6_31137450_31137500	9.973e-04
chr6_31137500_31137550	9.973e-04
chr6_31137550_31137600	9.973e-04
chr6_31137600_31137650	9.973e-04
chr6_31137650_31137700	9.973e-04
chr6_31137700_31137750	9.973e-04
chr6_31137800_31137850	9.973e-04
chr6_31137850_31137900	9.973e-04
chr6_31138450_31138500	9.973e-04
chr6_31138500_31138550	9.973e-04
chr6_31138550_31138600	9.973e-04
chr6_31140350_31140400	1.160e-03
chr6_31140400_31140450	1.160e-03
chr6_31140450_31140500	1.160e-03
chr6_31133650_31133700	1.213e-03
chr6_31133700_31133750	1.213e-03
chr6_31133750_31133800	1.213e-03
chr6_31133800_31133850	1.213e-03
chr6_31134650_31134700	1.213e-03
chr6_31134700_31134750	1.213e-03
chr6_31134750_31134800	1.213e-03
chr6_31134800_31134850	1.213e-03
chr6_31134850_31134900	1.213e-03
chr6_31135600_31135650	1.213e-03
chr6_31135650_31135700	1.213e-03
chr6_31133600_31133650	1.375e-03
chr6_31133250_31133300	1.608e-03
chr6_31133300_31133350	1.608e-03
chr6_31133350_31133400	1.608e-03
chr6_31133400_31133450	1.608e-03
chr6_31133450_31133500	1.608e-03
chr6_31133850_31133900	1.687e-03
chr6_31133950_31134000	1.687e-03
chr6_31134000_31134050	1.687e-03
chr6_31134050_31134100	1.687e-03
chr6_31134100_31134150	1.687e-03
chr6_31134150_31134200	1.687e-03
chr6_31134200_31134250	1.687e-03
chr6_31134250_31134300	1.687e-03
chr6_31134300_31134350	1.687e-03
chr6_31134350_31134400	1.687e-03
